"level0","level1","Access to telecommunication systems(1) ","count"
"Auckland Central","North Island general electorates","No Access to Telecommunication Systems",1230
"Bay of Plenty","North Island general electorates","No Access to Telecommunication Systems",660
"Botany","North Island general electorates","No Access to Telecommunication Systems",429
"Coromandel","North Island general electorates","No Access to Telecommunication Systems",1194
"East Coast","North Island general electorates","No Access to Telecommunication Systems",2814
"East Coast Bays","North Island general electorates","No Access to Telecommunication Systems",207
"Epsom","North Island general electorates","No Access to Telecommunication Systems",288
"Hamilton East","North Island general electorates","No Access to Telecommunication Systems",885
"Hamilton West","North Island general electorates","No Access to Telecommunication Systems",1062
"Helensville","North Island general electorates","No Access to Telecommunication Systems",345
"Hunua","North Island general electorates","No Access to Telecommunication Systems",618
"Hutt South","North Island general electorates","No Access to Telecommunication Systems",738
"Kelston","North Island general electorates","No Access to Telecommunication Systems",873
"Mana","North Island general electorates","No Access to Telecommunication Systems",780
"Mangere","North Island general electorates","No Access to Telecommunication Systems",1572
"Manukau East","North Island general electorates","No Access to Telecommunication Systems",1764
"Manurewa","North Island general electorates","No Access to Telecommunication Systems",1872
"Maungakiekie","North Island general electorates","No Access to Telecommunication Systems",885
"Mt Albert","North Island general electorates","No Access to Telecommunication Systems",483
"Mt Roskill","North Island general electorates","No Access to Telecommunication Systems",585
"Napier","North Island general electorates","No Access to Telecommunication Systems",1314
"New Lynn","North Island general electorates","No Access to Telecommunication Systems",555
"New Plymouth","North Island general electorates","No Access to Telecommunication Systems",879
"North Shore","North Island general electorates","No Access to Telecommunication Systems",216
"Northcote","North Island general electorates","No Access to Telecommunication Systems",330
"Northland","North Island general electorates","No Access to Telecommunication Systems",2112
"Ohariu","North Island general electorates","No Access to Telecommunication Systems",237
"Otaki","North Island general electorates","No Access to Telecommunication Systems",747
"Pakuranga","North Island general electorates","No Access to Telecommunication Systems",306
"Palmerston North","North Island general electorates","No Access to Telecommunication Systems",735
"Papakura","North Island general electorates","No Access to Telecommunication Systems",1347
"Rangitikei","North Island general electorates","No Access to Telecommunication Systems",1059
