"level0","level1","level2","Age group and sex","count"
"0–4 Years","Auckland Central","North Island general electorates","Male",1134
"5–9 Years","Auckland Central","North Island general electorates","Male",888
"10–14 Years","Auckland Central","North Island general electorates","Male",729
"15–19 Years","Auckland Central","North Island general electorates","Male",2268
"20–24 Years","Auckland Central","North Island general electorates","Male",5091
"25–29 Years","Auckland Central","North Island general electorates","Male",4818
"30–34 Years","Auckland Central","North Island general electorates","Male",3420
"35–39 Years","Auckland Central","North Island general electorates","Male",2088
"40–44 Years","Auckland Central","North Island general electorates","Male",1923
"45–49 Years","Auckland Central","North Island general electorates","Male",1653
"50–54 Years","Auckland Central","North Island general electorates","Male",1587
"55–59 Years","Auckland Central","North Island general electorates","Male",1353
"60–64 Years","Auckland Central","North Island general electorates","Male",1290
"65–69 Years","Auckland Central","North Island general electorates","Male",960
"70–74 Years","Auckland Central","North Island general electorates","Male",618
"75–79 Years","Auckland Central","North Island general electorates","Male",324
"80–84 Years","Auckland Central","North Island general electorates","Male",186
"85 Years And Over","Auckland Central","North Island general electorates","Male",144
"18 Years And Over","Auckland Central","North Island general electorates","Male",27147
"0–4 Years","Bay of Plenty","North Island general electorates","Male",2349
"5–9 Years","Bay of Plenty","North Island general electorates","Male",2433
"10–14 Years","Bay of Plenty","North Island general electorates","Male",2397
"15–19 Years","Bay of Plenty","North Island general electorates","Male",2019
"20–24 Years","Bay of Plenty","North Island general electorates","Male",1440
"25–29 Years","Bay of Plenty","North Island general electorates","Male",1359
"30–34 Years","Bay of Plenty","North Island general electorates","Male",1515
"35–39 Years","Bay of Plenty","North Island general electorates","Male",1827
"40–44 Years","Bay of Plenty","North Island general electorates","Male",2175
"45–49 Years","Bay of Plenty","North Island general electorates","Male",2223
"50–54 Years","Bay of Plenty","North Island general electorates","Male",2106
"55–59 Years","Bay of Plenty","North Island general electorates","Male",1974
"60–64 Years","Bay of Plenty","North Island general electorates","Male",1815
"65–69 Years","Bay of Plenty","North Island general electorates","Male",1800
"70–74 Years","Bay of Plenty","North Island general electorates","Male",1500
"75–79 Years","Bay of Plenty","North Island general electorates","Male",996
"80–84 Years","Bay of Plenty","North Island general electorates","Male",732
"85 Years And Over","Bay of Plenty","North Island general electorates","Male",507
"18 Years And Over","Bay of Plenty","North Island general electorates","Male",22572
"0–4 Years","Botany","North Island general electorates","Male",2199
"5–9 Years","Botany","North Island general electorates","Male",2349
"10–14 Years","Botany","North Island general electorates","Male",2394
"15–19 Years","Botany","North Island general electorates","Male",2535
"20–24 Years","Botany","North Island general electorates","Male",2157
"25–29 Years","Botany","North Island general electorates","Male",1869
"30–34 Years","Botany","North Island general electorates","Male",2028
"35–39 Years","Botany","North Island general electorates","Male",1860
"40–44 Years","Botany","North Island general electorates","Male",2178
"45–49 Years","Botany","North Island general electorates","Male",2376
"50–54 Years","Botany","North Island general electorates","Male",2151
"55–59 Years","Botany","North Island general electorates","Male",1887
"60–64 Years","Botany","North Island general electorates","Male",1587
"65–69 Years","Botany","North Island general electorates","Male",1236
"70–74 Years","Botany","North Island general electorates","Male",849
"75–79 Years","Botany","North Island general electorates","Male",555
"80–84 Years","Botany","North Island general electorates","Male",339
"85 Years And Over","Botany","North Island general electorates","Male",228
"18 Years And Over","Botany","North Island general electorates","Male",22308
"0–4 Years","Coromandel","North Island general electorates","Male",1893
"5–9 Years","Coromandel","North Island general electorates","Male",1998
"10–14 Years","Coromandel","North Island general electorates","Male",2154
"15–19 Years","Coromandel","North Island general electorates","Male",1881
"20–24 Years","Coromandel","North Island general electorates","Male",1413
"25–29 Years","Coromandel","North Island general electorates","Male",1221
"30–34 Years","Coromandel","North Island general electorates","Male",1197
"35–39 Years","Coromandel","North Island general electorates","Male",1482
"40–44 Years","Coromandel","North Island general electorates","Male",1926
"45–49 Years","Coromandel","North Island general electorates","Male",2073
"50–54 Years","Coromandel","North Island general electorates","Male",2316
"55–59 Years","Coromandel","North Island general electorates","Male",2418
"60–64 Years","Coromandel","North Island general electorates","Male",2571
"65–69 Years","Coromandel","North Island general electorates","Male",2544
"70–74 Years","Coromandel","North Island general electorates","Male",2085
"75–79 Years","Coromandel","North Island general electorates","Male",1419
"80–84 Years","Coromandel","North Island general electorates","Male",987
"85 Years And Over","Coromandel","North Island general electorates","Male",603
"18 Years And Over","Coromandel","North Island general electorates","Male",24849
"0–4 Years","East Coast","North Island general electorates","Male",3687
"5–9 Years","East Coast","North Island general electorates","Male",4005
"10–14 Years","East Coast","North Island general electorates","Male",3966
"15–19 Years","East Coast","North Island general electorates","Male",3402
"20–24 Years","East Coast","North Island general electorates","Male",2604
"25–29 Years","East Coast","North Island general electorates","Male",2109
"30–34 Years","East Coast","North Island general electorates","Male",2103
"35–39 Years","East Coast","North Island general electorates","Male",2520
"40–44 Years","East Coast","North Island general electorates","Male",2847
"45–49 Years","East Coast","North Island general electorates","Male",2871
"50–54 Years","East Coast","North Island general electorates","Male",3264
"55–59 Years","East Coast","North Island general electorates","Male",3057
"60–64 Years","East Coast","North Island general electorates","Male",2934
"65–69 Years","East Coast","North Island general electorates","Male",2319
"70–74 Years","East Coast","North Island general electorates","Male",1779
"75–79 Years","East Coast","North Island general electorates","Male",1215
"80–84 Years","East Coast","North Island general electorates","Male",873
"85 Years And Over","East Coast","North Island general electorates","Male",519
"18 Years And Over","East Coast","North Island general electorates","Male",32157
"0–4 Years","East Coast Bays","North Island general electorates","Male",1791
"5–9 Years","East Coast Bays","North Island general electorates","Male",1806
"10–14 Years","East Coast Bays","North Island general electorates","Male",2037
"15–19 Years","East Coast Bays","North Island general electorates","Male",2421
"20–24 Years","East Coast Bays","North Island general electorates","Male",2298
"25–29 Years","East Coast Bays","North Island general electorates","Male",1734
"30–34 Years","East Coast Bays","North Island general electorates","Male",1746
"35–39 Years","East Coast Bays","North Island general electorates","Male",1686
"40–44 Years","East Coast Bays","North Island general electorates","Male",2205
"45–49 Years","East Coast Bays","North Island general electorates","Male",2298
"50–54 Years","East Coast Bays","North Island general electorates","Male",2151
"55–59 Years","East Coast Bays","North Island general electorates","Male",1815
"60–64 Years","East Coast Bays","North Island general electorates","Male",1491
"65–69 Years","East Coast Bays","North Island general electorates","Male",1146
"70–74 Years","East Coast Bays","North Island general electorates","Male",816
"75–79 Years","East Coast Bays","North Island general electorates","Male",603
"80–84 Years","East Coast Bays","North Island general electorates","Male",426
"85 Years And Over","East Coast Bays","North Island general electorates","Male",339
"18 Years And Over","East Coast Bays","North Island general electorates","Male",21684
"0–4 Years","Epsom","North Island general electorates","Male",1167
"5–9 Years","Epsom","North Island general electorates","Male",1740
"10–14 Years","Epsom","North Island general electorates","Male",2613
"15–19 Years","Epsom","North Island general electorates","Male",2775
"20–24 Years","Epsom","North Island general electorates","Male",2598
"25–29 Years","Epsom","North Island general electorates","Male",2175
"30–34 Years","Epsom","North Island general electorates","Male",1707
"35–39 Years","Epsom","North Island general electorates","Male",1512
"40–44 Years","Epsom","North Island general electorates","Male",2031
"45–49 Years","Epsom","North Island general electorates","Male",2526
"50–54 Years","Epsom","North Island general electorates","Male",2310
