"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"Australia(3)","Auckland Central","North Island general electorates","Less than 1 Year",162
"Pacific Islands(4)","Auckland Central","North Island general electorates","Less than 1 Year",78
"United Kingdom and Ireland(5)","Auckland Central","North Island general electorates","Less than 1 Year",408
"Europe (excluding United Kingdom and Ireland)","Auckland Central","North Island general electorates","Less than 1 Year",423
"North America","Auckland Central","North Island general electorates","Less than 1 Year",147
"Asia","Auckland Central","North Island general electorates","Less than 1 Year",2457
"Middle East and Africa","Auckland Central","North Island general electorates","Less than 1 Year",177
"Other","Auckland Central","North Island general electorates","Less than 1 Year",219
"Not elsewhere included(7)","Auckland Central","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Bay of Plenty","North Island general electorates","Less than 1 Year",63
"Pacific Islands(4)","Bay of Plenty","North Island general electorates","Less than 1 Year",3
"United Kingdom and Ireland(5)","Bay of Plenty","North Island general electorates","Less than 1 Year",117
"Europe (excluding United Kingdom and Ireland)","Bay of Plenty","North Island general electorates","Less than 1 Year",48
"North America","Bay of Plenty","North Island general electorates","Less than 1 Year",30
"Asia","Bay of Plenty","North Island general electorates","Less than 1 Year",114
"Middle East and Africa","Bay of Plenty","North Island general electorates","Less than 1 Year",24
"Other","Bay of Plenty","North Island general electorates","Less than 1 Year",24
"Not elsewhere included(7)","Bay of Plenty","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Botany","North Island general electorates","Less than 1 Year",30
"Pacific Islands(4)","Botany","North Island general electorates","Less than 1 Year",84
"United Kingdom and Ireland(5)","Botany","North Island general electorates","Less than 1 Year",63
"Europe (excluding United Kingdom and Ireland)","Botany","North Island general electorates","Less than 1 Year",33
"North America","Botany","North Island general electorates","Less than 1 Year",15
"Asia","Botany","North Island general electorates","Less than 1 Year",561
"Middle East and Africa","Botany","North Island general electorates","Less than 1 Year",117
"Other","Botany","North Island general electorates","Less than 1 Year",18
"Not elsewhere included(7)","Botany","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Coromandel","North Island general electorates","Less than 1 Year",60
"Pacific Islands(4)","Coromandel","North Island general electorates","Less than 1 Year",18
"United Kingdom and Ireland(5)","Coromandel","North Island general electorates","Less than 1 Year",51
"Europe (excluding United Kingdom and Ireland)","Coromandel","North Island general electorates","Less than 1 Year",45
"North America","Coromandel","North Island general electorates","Less than 1 Year",27
"Asia","Coromandel","North Island general electorates","Less than 1 Year",117
"Middle East and Africa","Coromandel","North Island general electorates","Less than 1 Year",18
"Other","Coromandel","North Island general electorates","Less than 1 Year",15
"Not elsewhere included(7)","Coromandel","North Island general electorates","Less than 1 Year",NA
"Australia(3)","East Coast","North Island general electorates","Less than 1 Year",78
"Pacific Islands(4)","East Coast","North Island general electorates","Less than 1 Year",42
"United Kingdom and Ireland(5)","East Coast","North Island general electorates","Less than 1 Year",48
"Europe (excluding United Kingdom and Ireland)","East Coast","North Island general electorates","Less than 1 Year",27
"North America","East Coast","North Island general electorates","Less than 1 Year",51
"Asia","East Coast","North Island general electorates","Less than 1 Year",96
"Middle East and Africa","East Coast","North Island general electorates","Less than 1 Year",12
"Other","East Coast","North Island general electorates","Less than 1 Year",30
"Not elsewhere included(7)","East Coast","North Island general electorates","Less than 1 Year",NA
"Australia(3)","East Coast Bays","North Island general electorates","Less than 1 Year",27
"Pacific Islands(4)","East Coast Bays","North Island general electorates","Less than 1 Year",3
"United Kingdom and Ireland(5)","East Coast Bays","North Island general electorates","Less than 1 Year",177
"Europe (excluding United Kingdom and Ireland)","East Coast Bays","North Island general electorates","Less than 1 Year",69
"North America","East Coast Bays","North Island general electorates","Less than 1 Year",48
"Asia","East Coast Bays","North Island general electorates","Less than 1 Year",630
"Middle East and Africa","East Coast Bays","North Island general electorates","Less than 1 Year",225
"Other","East Coast Bays","North Island general electorates","Less than 1 Year",18
"Not elsewhere included(7)","East Coast Bays","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Epsom","North Island general electorates","Less than 1 Year",87
"Pacific Islands(4)","Epsom","North Island general electorates","Less than 1 Year",27
"United Kingdom and Ireland(5)","Epsom","North Island general electorates","Less than 1 Year",243
"Europe (excluding United Kingdom and Ireland)","Epsom","North Island general electorates","Less than 1 Year",138
"North America","Epsom","North Island general electorates","Less than 1 Year",75
"Asia","Epsom","North Island general electorates","Less than 1 Year",858
"Middle East and Africa","Epsom","North Island general electorates","Less than 1 Year",42
"Other","Epsom","North Island general electorates","Less than 1 Year",48
"Not elsewhere included(7)","Epsom","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Hamilton East","North Island general electorates","Less than 1 Year",33
"Pacific Islands(4)","Hamilton East","North Island general electorates","Less than 1 Year",108
"United Kingdom and Ireland(5)","Hamilton East","North Island general electorates","Less than 1 Year",114
"Europe (excluding United Kingdom and Ireland)","Hamilton East","North Island general electorates","Less than 1 Year",42
"North America","Hamilton East","North Island general electorates","Less than 1 Year",36
"Asia","Hamilton East","North Island general electorates","Less than 1 Year",567
"Middle East and Africa","Hamilton East","North Island general electorates","Less than 1 Year",111
"Other","Hamilton East","North Island general electorates","Less than 1 Year",39
"Not elsewhere included(7)","Hamilton East","North Island general electorates","Less than 1 Year",NA
