"level0","level1","level2","level3","Cigarette smoking behaviour","count"
"Male","15–19 Years","Auckland Central","North Island general electorates","Regular Smoker",171
"Female","15–19 Years","Auckland Central","North Island general electorates","Regular Smoker",123
"Male","20–24 Years","Auckland Central","North Island general electorates","Regular Smoker",753
"Female","20–24 Years","Auckland Central","North Island general electorates","Regular Smoker",387
"Male","25–29 Years","Auckland Central","North Island general electorates","Regular Smoker",753
"Female","25–29 Years","Auckland Central","North Island general electorates","Regular Smoker",393
"Male","30–34 Years","Auckland Central","North Island general electorates","Regular Smoker",525
"Female","30–34 Years","Auckland Central","North Island general electorates","Regular Smoker",276
"Male","35–39 Years","Auckland Central","North Island general electorates","Regular Smoker",336
"Female","35–39 Years","Auckland Central","North Island general electorates","Regular Smoker",174
"Male","40–44 Years","Auckland Central","North Island general electorates","Regular Smoker",267
"Female","40–44 Years","Auckland Central","North Island general electorates","Regular Smoker",183
"Male","45–49 Years","Auckland Central","North Island general electorates","Regular Smoker",270
"Female","45–49 Years","Auckland Central","North Island general electorates","Regular Smoker",195
"Male","50–54 Years","Auckland Central","North Island general electorates","Regular Smoker",249
"Female","50–54 Years","Auckland Central","North Island general electorates","Regular Smoker",168
"Male","55–59 Years","Auckland Central","North Island general electorates","Regular Smoker",192
"Female","55–59 Years","Auckland Central","North Island general electorates","Regular Smoker",123
"Male","60–64 Years","Auckland Central","North Island general electorates","Regular Smoker",132
"Female","60–64 Years","Auckland Central","North Island general electorates","Regular Smoker",99
"Male","65–69 Years","Auckland Central","North Island general electorates","Regular Smoker",84
"Female","65–69 Years","Auckland Central","North Island general electorates","Regular Smoker",72
"Male","70–74 Years","Auckland Central","North Island general electorates","Regular Smoker",42
"Female","70–74 Years","Auckland Central","North Island general electorates","Regular Smoker",36
"Male","75–79 Years","Auckland Central","North Island general electorates","Regular Smoker",12
"Female","75–79 Years","Auckland Central","North Island general electorates","Regular Smoker",9
"Male","80–84 Years","Auckland Central","North Island general electorates","Regular Smoker",6
"Female","80–84 Years","Auckland Central","North Island general electorates","Regular Smoker",6
"Male","85 Years And Over","Auckland Central","North Island general electorates","Regular Smoker",0
"Female","85 Years And Over","Auckland Central","North Island general electorates","Regular Smoker",6
"Male","15–19 Years","Bay of Plenty","North Island general electorates","Regular Smoker",213
"Female","15–19 Years","Bay of Plenty","North Island general electorates","Regular Smoker",159
"Male","20–24 Years","Bay of Plenty","North Island general electorates","Regular Smoker",360
"Female","20–24 Years","Bay of Plenty","North Island general electorates","Regular Smoker",357
"Male","25–29 Years","Bay of Plenty","North Island general electorates","Regular Smoker",366
"Female","25–29 Years","Bay of Plenty","North Island general electorates","Regular Smoker",330
"Male","30–34 Years","Bay of Plenty","North Island general electorates","Regular Smoker",303
"Female","30–34 Years","Bay of Plenty","North Island general electorates","Regular Smoker",351
"Male","35–39 Years","Bay of Plenty","North Island general electorates","Regular Smoker",330
"Female","35–39 Years","Bay of Plenty","North Island general electorates","Regular Smoker",330
"Male","40–44 Years","Bay of Plenty","North Island general electorates","Regular Smoker",372
"Female","40–44 Years","Bay of Plenty","North Island general electorates","Regular Smoker",393
"Male","45–49 Years","Bay of Plenty","North Island general electorates","Regular Smoker",390
