"level0","level1","level2","Ethnic group (grouped total responses)(1)","count"
"Male","0–4 Years","Hauraki-Waikato","European",3687
"Female","0–4 Years","Hauraki-Waikato","European",3444
"Male","5–9 Years","Hauraki-Waikato","European",3255
"Female","5–9 Years","Hauraki-Waikato","European",3102
"Male","10–14 Years","Hauraki-Waikato","European",2946
"Female","10–14 Years","Hauraki-Waikato","European",2835
"Male","15–19 Years","Hauraki-Waikato","European",2595
"Female","15–19 Years","Hauraki-Waikato","European",2634
"Male","20–24 Years","Hauraki-Waikato","European",1896
"Female","20–24 Years","Hauraki-Waikato","European",2406
"Male","25–29 Years","Hauraki-Waikato","European",1371
"Female","25–29 Years","Hauraki-Waikato","European",1797
"Male","30–34 Years","Hauraki-Waikato","European",1227
"Female","30–34 Years","Hauraki-Waikato","European",1611
"Male","35–39 Years","Hauraki-Waikato","European",1236
"Female","35–39 Years","Hauraki-Waikato","European",1725
"Male","40–44 Years","Hauraki-Waikato","European",1239
"Female","40–44 Years","Hauraki-Waikato","European",1731
"Male","45–49 Years","Hauraki-Waikato","European",975
"Female","45–49 Years","Hauraki-Waikato","European",1383
"Male","50–54 Years","Hauraki-Waikato","European",942
"Female","50–54 Years","Hauraki-Waikato","European",1272
"Male","55–59 Years","Hauraki-Waikato","European",699
"Female","55–59 Years","Hauraki-Waikato","European",909
"Male","60–64 Years","Hauraki-Waikato","European",525
"Female","60–64 Years","Hauraki-Waikato","European",729
"Male","65–69 Years","Hauraki-Waikato","European",360
"Female","65–69 Years","Hauraki-Waikato","European",477
"Male","70–74 Years","Hauraki-Waikato","European",255
"Female","70–74 Years","Hauraki-Waikato","European",297
"Male","75–79 Years","Hauraki-Waikato","European",132
"Female","75–79 Years","Hauraki-Waikato","European",198
"Male","80–84 Years","Hauraki-Waikato","European",81
"Female","80–84 Years","Hauraki-Waikato","European",117
"Male","85 Years And Over","Hauraki-Waikato","European",33
"Female","85 Years And Over","Hauraki-Waikato","European",87
"Male","18 Years And Over","Hauraki-Waikato","European",11889
"Female","18 Years And Over","Hauraki-Waikato","European",15756
"Male","0–4 Years","Ikaroa-Rāwhiti","European",2880
"Female","0–4 Years","Ikaroa-Rāwhiti","European",2895
"Male","5–9 Years","Ikaroa-Rāwhiti","European",2751
"Female","5–9 Years","Ikaroa-Rāwhiti","European",2649
"Male","10–14 Years","Ikaroa-Rāwhiti","European",2424
"Female","10–14 Years","Ikaroa-Rāwhiti","European",2445
"Male","15–19 Years","Ikaroa-Rāwhiti","European",2010
"Female","15–19 Years","Ikaroa-Rāwhiti","European",2022
"Male","20–24 Years","Ikaroa-Rāwhiti","European",1356
"Female","20–24 Years","Ikaroa-Rāwhiti","European",1683
"Male","25–29 Years","Ikaroa-Rāwhiti","European",975
"Female","25–29 Years","Ikaroa-Rāwhiti","European",1491
"Male","30–34 Years","Ikaroa-Rāwhiti","European",963
"Female","30–34 Years","Ikaroa-Rāwhiti","European",1347
"Male","35–39 Years","Ikaroa-Rāwhiti","European",966
"Female","35–39 Years","Ikaroa-Rāwhiti","European",1329
"Male","40–44 Years","Ikaroa-Rāwhiti","European",972
"Female","40–44 Years","Ikaroa-Rāwhiti","European",1377
"Male","45–49 Years","Ikaroa-Rāwhiti","European",783
