"level0","level1","level2","level3","Ethnic group (grouped total responses)(1)","count"
"Male","0–4 Years","Auckland Central","North Island general electorates","European",753
"Female","0–4 Years","Auckland Central","North Island general electorates","European",720
"Male","5–9 Years","Auckland Central","North Island general electorates","European",672
"Female","5–9 Years","Auckland Central","North Island general electorates","European",633
"Male","10–14 Years","Auckland Central","North Island general electorates","European",507
"Female","10–14 Years","Auckland Central","North Island general electorates","European",534
"Male","15–19 Years","Auckland Central","North Island general electorates","European",1128
"Female","15–19 Years","Auckland Central","North Island general electorates","European",1350
"Male","20–24 Years","Auckland Central","North Island general electorates","European",1803
"Female","20–24 Years","Auckland Central","North Island general electorates","European",1854
"Male","25–29 Years","Auckland Central","North Island general electorates","European",1944
"Female","25–29 Years","Auckland Central","North Island general electorates","European",1917
"Male","30–34 Years","Auckland Central","North Island general electorates","European",1647
"Female","30–34 Years","Auckland Central","North Island general electorates","European",1488
"Male","35–39 Years","Auckland Central","North Island general electorates","European",1269
"Female","35–39 Years","Auckland Central","North Island general electorates","European",1236
"Male","40–44 Years","Auckland Central","North Island general electorates","European",1338
"Female","40–44 Years","Auckland Central","North Island general electorates","European",1176
"Male","45–49 Years","Auckland Central","North Island general electorates","European",1182
"Female","45–49 Years","Auckland Central","North Island general electorates","European",1077
"Male","50–54 Years","Auckland Central","North Island general electorates","European",1197
"Female","50–54 Years","Auckland Central","North Island general electorates","European",1059
"Male","55–59 Years","Auckland Central","North Island general electorates","European",1032
"Female","55–59 Years","Auckland Central","North Island general electorates","European",1017
"Male","60–64 Years","Auckland Central","North Island general electorates","European",1029
"Female","60–64 Years","Auckland Central","North Island general electorates","European",981
"Male","65–69 Years","Auckland Central","North Island general electorates","European",774
"Female","65–69 Years","Auckland Central","North Island general electorates","European",762
"Male","70–74 Years","Auckland Central","North Island general electorates","European",501
"Female","70–74 Years","Auckland Central","North Island general electorates","European",420
"Male","75–79 Years","Auckland Central","North Island general electorates","European",252
"Female","75–79 Years","Auckland Central","North Island general electorates","European",213
"Male","80–84 Years","Auckland Central","North Island general electorates","European",141
"Female","80–84 Years","Auckland Central","North Island general electorates","European",183
"Male","85 Years And Over","Auckland Central","North Island general electorates","European",126
"Female","85 Years And Over","Auckland Central","North Island general electorates","European",186
"Male","18 Years And Over","Auckland Central","North Island general electorates","European",15003
"Female","18 Years And Over","Auckland Central","North Island general electorates","European",14526
"Male","0–4 Years","Bay of Plenty","North Island general electorates","European",1848
"Female","0–4 Years","Bay of Plenty","North Island general electorates","European",1725
"Male","5–9 Years","Bay of Plenty","North Island general electorates","European",1905
"Female","5–9 Years","Bay of Plenty","North Island general electorates","European",1878
"Male","10–14 Years","Bay of Plenty","North Island general electorates","European",1872
"Female","10–14 Years","Bay of Plenty","North Island general electorates","European",1818
"Male","15–19 Years","Bay of Plenty","North Island general electorates","European",1542
"Female","15–19 Years","Bay of Plenty","North Island general electorates","European",1479
"Male","20–24 Years","Bay of Plenty","North Island general electorates","European",1011
"Female","20–24 Years","Bay of Plenty","North Island general electorates","European",1137
"Male","25–29 Years","Bay of Plenty","North Island general electorates","European",960
"Female","25–29 Years","Bay of Plenty","North Island general electorates","European",1176
"Male","30–34 Years","Bay of Plenty","North Island general electorates","European",1089
"Female","30–34 Years","Bay of Plenty","North Island general electorates","European",1332
"Male","35–39 Years","Bay of Plenty","North Island general electorates","European",1371
"Female","35–39 Years","Bay of Plenty","North Island general electorates","European",1713
"Male","40–44 Years","Bay of Plenty","North Island general electorates","European",1716
"Female","40–44 Years","Bay of Plenty","North Island general electorates","European",2046
"Male","45–49 Years","Bay of Plenty","North Island general electorates","European",1776
"Female","45–49 Years","Bay of Plenty","North Island general electorates","European",1986
"Male","50–54 Years","Bay of Plenty","North Island general electorates","European",1695
"Female","50–54 Years","Bay of Plenty","North Island general electorates","European",1980
"Male","55–59 Years","Bay of Plenty","North Island general electorates","European",1641
"Female","55–59 Years","Bay of Plenty","North Island general electorates","European",1833
"Male","60–64 Years","Bay of Plenty","North Island general electorates","European",1500
"Female","60–64 Years","Bay of Plenty","North Island general electorates","European",1677
