"level0","level1","level2","Family type and number of dependent children in family(1)","count"
"No dependent children(3)","Auckland Central","North Island general electorates","Couple with child(ren)",1893
"One dependent child","Auckland Central","North Island general electorates","Couple with child(ren)",4362
"Two dependent children","Auckland Central","North Island general electorates","Couple with child(ren)",3969
"Three dependent children","Auckland Central","North Island general electorates","Couple with child(ren)",1335
"Four or more dependent children","Auckland Central","North Island general electorates","Couple with child(ren)",423
"Number of dependent children unknown","Auckland Central","North Island general electorates","Couple with child(ren)",132
"No dependent children(3)","Bay of Plenty","North Island general electorates","Couple with child(ren)",3012
"One dependent child","Bay of Plenty","North Island general electorates","Couple with child(ren)",6408
"Two dependent children","Bay of Plenty","North Island general electorates","Couple with child(ren)",10845
"Three dependent children","Bay of Plenty","North Island general electorates","Couple with child(ren)",5112
"Four or more dependent children","Bay of Plenty","North Island general electorates","Couple with child(ren)",2043
"Number of dependent children unknown","Bay of Plenty","North Island general electorates","Couple with child(ren)",234
"No dependent children(3)","Botany","North Island general electorates","Couple with child(ren)",8544
"One dependent child","Botany","North Island general electorates","Couple with child(ren)",10155
"Two dependent children","Botany","North Island general electorates","Couple with child(ren)",12147
"Three dependent children","Botany","North Island general electorates","Couple with child(ren)",4278
"Four or more dependent children","Botany","North Island general electorates","Couple with child(ren)",2151
"Number of dependent children unknown","Botany","North Island general electorates","Couple with child(ren)",177
"No dependent children(3)","Coromandel","North Island general electorates","Couple with child(ren)",2973
"One dependent child","Coromandel","North Island general electorates","Couple with child(ren)",5352
"Two dependent children","Coromandel","North Island general electorates","Couple with child(ren)",8280
"Three dependent children","Coromandel","North Island general electorates","Couple with child(ren)",4302
"Four or more dependent children","Coromandel","North Island general electorates","Couple with child(ren)",2262
"Number of dependent children unknown","Coromandel","North Island general electorates","Couple with child(ren)",336
"No dependent children(3)","East Coast","North Island general electorates","Couple with child(ren)",4269
"One dependent child","East Coast","North Island general electorates","Couple with child(ren)",8454
"Two dependent children","East Coast","North Island general electorates","Couple with child(ren)",11742
"Three dependent children","East Coast","North Island general electorates","Couple with child(ren)",6891
"Four or more dependent children","East Coast","North Island general electorates","Couple with child(ren)",4569
"Number of dependent children unknown","East Coast","North Island general electorates","Couple with child(ren)",705
"No dependent children(3)","East Coast Bays","North Island general electorates","Couple with child(ren)",7134
"One dependent child","East Coast Bays","North Island general electorates","Couple with child(ren)",8838
"Two dependent children","East Coast Bays","North Island general electorates","Couple with child(ren)",11862
"Three dependent children","East Coast Bays","North Island general electorates","Couple with child(ren)",3852
"Four or more dependent children","East Coast Bays","North Island general electorates","Couple with child(ren)",1077
"Number of dependent children unknown","East Coast Bays","North Island general electorates","Couple with child(ren)",210
"No dependent children(3)","Epsom","North Island general electorates","Couple with child(ren)",5874
"One dependent child","Epsom","North Island general electorates","Couple with child(ren)",7938
"Two dependent children","Epsom","North Island general electorates","Couple with child(ren)",10137
"Three dependent children","Epsom","North Island general electorates","Couple with child(ren)",4440
"Four or more dependent children","Epsom","North Island general electorates","Couple with child(ren)",960
"Number of dependent children unknown","Epsom","North Island general electorates","Couple with child(ren)",459
"No dependent children(3)","Hamilton East","North Island general electorates","Couple with child(ren)",3960
"One dependent child","Hamilton East","North Island general electorates","Couple with child(ren)",7350
"Two dependent children","Hamilton East","North Island general electorates","Couple with child(ren)",10359
"Three dependent children","Hamilton East","North Island general electorates","Couple with child(ren)",4851
"Four or more dependent children","Hamilton East","North Island general electorates","Couple with child(ren)",2505
"Number of dependent children unknown","Hamilton East","North Island general electorates","Couple with child(ren)",255
"No dependent children(3)","Hamilton West","North Island general electorates","Couple with child(ren)",4272
"One dependent child","Hamilton West","North Island general electorates","Couple with child(ren)",7986
"Two dependent children","Hamilton West","North Island general electorates","Couple with child(ren)",9822
"Three dependent children","Hamilton West","North Island general electorates","Couple with child(ren)",4332
"Four or more dependent children","Hamilton West","North Island general electorates","Couple with child(ren)",2826
"Number of dependent children unknown","Hamilton West","North Island general electorates","Couple with child(ren)",228
"No dependent children(3)","Helensville","North Island general electorates","Couple with child(ren)",5583
"One dependent child","Helensville","North Island general electorates","Couple with child(ren)",7803
"Two dependent children","Helensville","North Island general electorates","Couple with child(ren)",11637
"Three dependent children","Helensville","North Island general electorates","Couple with child(ren)",5061
"Four or more dependent children","Helensville","North Island general electorates","Couple with child(ren)",1761
"Number of dependent children unknown","Helensville","North Island general electorates","Couple with child(ren)",294
"No dependent children(3)","Hunua","North Island general electorates","Couple with child(ren)",5268
"One dependent child","Hunua","North Island general electorates","Couple with child(ren)",7737
"Two dependent children","Hunua","North Island general electorates","Couple with child(ren)",12162
"Three dependent children","Hunua","North Island general electorates","Couple with child(ren)",5406
"Four or more dependent children","Hunua","North Island general electorates","Couple with child(ren)",2502
"Number of dependent children unknown","Hunua","North Island general electorates","Couple with child(ren)",420
"No dependent children(3)","Hutt South","North Island general electorates","Couple with child(ren)",5703
"One dependent child","Hutt South","North Island general electorates","Couple with child(ren)",8664
"Two dependent children","Hutt South","North Island general electorates","Couple with child(ren)",11631
"Three dependent children","Hutt South","North Island general electorates","Couple with child(ren)",4812
"Four or more dependent children","Hutt South","North Island general electorates","Couple with child(ren)",2088
"Number of dependent children unknown","Hutt South","North Island general electorates","Couple with child(ren)",288
"No dependent children(3)","Kelston","North Island general electorates","Couple with child(ren)",5475
"One dependent child","Kelston","North Island general electorates","Couple with child(ren)",8307
"Two dependent children","Kelston","North Island general electorates","Couple with child(ren)",9246
"Three dependent children","Kelston","North Island general electorates","Couple with child(ren)",3957
"Four or more dependent children","Kelston","North Island general electorates","Couple with child(ren)",2979
"Number of dependent children unknown","Kelston","North Island general electorates","Couple with child(ren)",264
"No dependent children(3)","Mana","North Island general electorates","Couple with child(ren)",5043
"One dependent child","Mana","North Island general electorates","Couple with child(ren)",8157
"Two dependent children","Mana","North Island general electorates","Couple with child(ren)",11118
"Three dependent children","Mana","North Island general electorates","Couple with child(ren)",5448
"Four or more dependent children","Mana","North Island general electorates","Couple with child(ren)",3201
"Number of dependent children unknown","Mana","North Island general electorates","Couple with child(ren)",393
"No dependent children(3)","Mangere","North Island general electorates","Couple with child(ren)",5487
"One dependent child","Mangere","North Island general electorates","Couple with child(ren)",7335
"Two dependent children","Mangere","North Island general electorates","Couple with child(ren)",8310
"Three dependent children","Mangere","North Island general electorates","Couple with child(ren)",5202
"Four or more dependent children","Mangere","North Island general electorates","Couple with child(ren)",7170
"Number of dependent children unknown","Mangere","North Island general electorates","Couple with child(ren)",591
"No dependent children(3)","Manukau East","North Island general electorates","Couple with child(ren)",5598
"One dependent child","Manukau East","North Island general electorates","Couple with child(ren)",8313
"Two dependent children","Manukau East","North Island general electorates","Couple with child(ren)",8349
"Three dependent children","Manukau East","North Island general electorates","Couple with child(ren)",4515
"Four or more dependent children","Manukau East","North Island general electorates","Couple with child(ren)",5133
"Number of dependent children unknown","Manukau East","North Island general electorates","Couple with child(ren)",372
"No dependent children(3)","Manurewa","North Island general electorates","Couple with child(ren)",5910
"One dependent child","Manurewa","North Island general electorates","Couple with child(ren)",8331
"Two dependent children","Manurewa","North Island general electorates","Couple with child(ren)",9222
"Three dependent children","Manurewa","North Island general electorates","Couple with child(ren)",5346
"Four or more dependent children","Manurewa","North Island general electorates","Couple with child(ren)",5322
"Number of dependent children unknown","Manurewa","North Island general electorates","Couple with child(ren)",453
"No dependent children(3)","Maungakiekie","North Island general electorates","Couple with child(ren)",4833
"One dependent child","Maungakiekie","North Island general electorates","Couple with child(ren)",8400
"Two dependent children","Maungakiekie","North Island general electorates","Couple with child(ren)",9261
"Three dependent children","Maungakiekie","North Island general electorates","Couple with child(ren)",3630
"Four or more dependent children","Maungakiekie","North Island general electorates","Couple with child(ren)",2712
"Number of dependent children unknown","Maungakiekie","North Island general electorates","Couple with child(ren)",249
"No dependent children(3)","Mt Albert","North Island general electorates","Couple with child(ren)",3762
"One dependent child","Mt Albert","North Island general electorates","Couple with child(ren)",7830
"Two dependent children","Mt Albert","North Island general electorates","Couple with child(ren)",10779
"Three dependent children","Mt Albert","North Island general electorates","Couple with child(ren)",3939
"Four or more dependent children","Mt Albert","North Island general electorates","Couple with child(ren)",1092
"Number of dependent children unknown","Mt Albert","North Island general electorates","Couple with child(ren)",180
"No dependent children(3)","Mt Roskill","North Island general electorates","Couple with child(ren)",6897
"One dependent child","Mt Roskill","North Island general electorates","Couple with child(ren)",8340
"Two dependent children","Mt Roskill","North Island general electorates","Couple with child(ren)",9666
"Three dependent children","Mt Roskill","North Island general electorates","Couple with child(ren)",3555
"Four or more dependent children","Mt Roskill","North Island general electorates","Couple with child(ren)",2280
"Number of dependent children unknown","Mt Roskill","North Island general electorates","Couple with child(ren)",171
