"level0","level1","level2","Highest qualification","count"
"No Qualification","Auckland Central","North Island general electorates","Male",1737
"Level 1 Certificate","Auckland Central","North Island general electorates","Male",1290
"Level 2 Certificate","Auckland Central","North Island general electorates","Male",1578
"Level 3 Certificate","Auckland Central","North Island general electorates","Male",3429
"Level 4 Certificate","Auckland Central","North Island general electorates","Male",1473
"Level 5 or Level 6 Diploma(1)","Auckland Central","North Island general electorates","Male",2385
"Bachelor Degree and Level 7 Qualification","Auckland Central","North Island general electorates","Male",5946
"Post-graduate and Honours Degrees","Auckland Central","North Island general electorates","Male",1185
"Masters Degree","Auckland Central","North Island general electorates","Male",1662
"Doctorate Degree","Auckland Central","North Island general electorates","Male",417
"Overseas Secondary School Qualification","Auckland Central","North Island general electorates","Male",2970
"Not Elsewhere Included(3)","Auckland Central","North Island general electorates","Male",3654
"No Qualification","Bay of Plenty","North Island general electorates","Male",4947
"Level 1 Certificate","Bay of Plenty","North Island general electorates","Male",3039
"Level 2 Certificate","Bay of Plenty","North Island general electorates","Male",2298
"Level 3 Certificate","Bay of Plenty","North Island general electorates","Male",1515
"Level 4 Certificate","Bay of Plenty","North Island general electorates","Male",3981
"Level 5 or Level 6 Diploma(1)","Bay of Plenty","North Island general electorates","Male",1950
"Bachelor Degree and Level 7 Qualification","Bay of Plenty","North Island general electorates","Male",1815
"Post-graduate and Honours Degrees","Bay of Plenty","North Island general electorates","Male",381
"Masters Degree","Bay of Plenty","North Island general electorates","Male",333
"Doctorate Degree","Bay of Plenty","North Island general electorates","Male",108
"Overseas Secondary School Qualification","Bay of Plenty","North Island general electorates","Male",1203
"Not Elsewhere Included(3)","Bay of Plenty","North Island general electorates","Male",2412
"No Qualification","Botany","North Island general electorates","Male",3222
"Level 1 Certificate","Botany","North Island general electorates","Male",1818
"Level 2 Certificate","Botany","North Island general electorates","Male",1905
"Level 3 Certificate","Botany","North Island general electorates","Male",2421
"Level 4 Certificate","Botany","North Island general electorates","Male",2460
"Level 5 or Level 6 Diploma(1)","Botany","North Island general electorates","Male",1932
"Bachelor Degree and Level 7 Qualification","Botany","North Island general electorates","Male",3537
"Post-graduate and Honours Degrees","Botany","North Island general electorates","Male",507
"Masters Degree","Botany","North Island general electorates","Male",852
"Doctorate Degree","Botany","North Island general electorates","Male",123
"Overseas Secondary School Qualification","Botany","North Island general electorates","Male",3048
"Not Elsewhere Included(3)","Botany","North Island general electorates","Male",2010
"No Qualification","Coromandel","North Island general electorates","Male",7266
"Level 1 Certificate","Coromandel","North Island general electorates","Male",3462
"Level 2 Certificate","Coromandel","North Island general electorates","Male",2277
"Level 3 Certificate","Coromandel","North Island general electorates","Male",1242
"Level 4 Certificate","Coromandel","North Island general electorates","Male",4245
"Level 5 or Level 6 Diploma(1)","Coromandel","North Island general electorates","Male",1635
"Bachelor Degree and Level 7 Qualification","Coromandel","North Island general electorates","Male",1365
"Post-graduate and Honours Degrees","Coromandel","North Island general electorates","Male",249
"Masters Degree","Coromandel","North Island general electorates","Male",306
"Doctorate Degree","Coromandel","North Island general electorates","Male",78
"Overseas Secondary School Qualification","Coromandel","North Island general electorates","Male",957
"Not Elsewhere Included(3)","Coromandel","North Island general electorates","Male",3054
"No Qualification","East Coast","North Island general electorates","Male",9105
"Level 1 Certificate","East Coast","North Island general electorates","Male",4206
"Level 2 Certificate","East Coast","North Island general electorates","Male",3132
"Level 3 Certificate","East Coast","North Island general electorates","Male",2106
"Level 4 Certificate","East Coast","North Island general electorates","Male",4812
"Level 5 or Level 6 Diploma(1)","East Coast","North Island general electorates","Male",1962
"Bachelor Degree and Level 7 Qualification","East Coast","North Island general electorates","Male",1854
"Post-graduate and Honours Degrees","East Coast","North Island general electorates","Male",333
"Masters Degree","East Coast","North Island general electorates","Male",309
"Doctorate Degree","East Coast","North Island general electorates","Male",78
"Overseas Secondary School Qualification","East Coast","North Island general electorates","Male",762
"Not Elsewhere Included(3)","East Coast","North Island general electorates","Male",5763
"No Qualification","East Coast Bays","North Island general electorates","Male",2064
"Level 1 Certificate","East Coast Bays","North Island general electorates","Male",1818
"Level 2 Certificate","East Coast Bays","North Island general electorates","Male",2088
"Level 3 Certificate","East Coast Bays","North Island general electorates","Male",2493
"Level 4 Certificate","East Coast Bays","North Island general electorates","Male",2565
"Level 5 or Level 6 Diploma(1)","East Coast Bays","North Island general electorates","Male",2124
"Bachelor Degree and Level 7 Qualification","East Coast Bays","North Island general electorates","Male",3618
"Post-graduate and Honours Degrees","East Coast Bays","North Island general electorates","Male",690
"Masters Degree","East Coast Bays","North Island general electorates","Male",921
"Doctorate Degree","East Coast Bays","North Island general electorates","Male",231
"Overseas Secondary School Qualification","East Coast Bays","North Island general electorates","Male",2751
"Not Elsewhere Included(3)","East Coast Bays","North Island general electorates","Male",1824
"No Qualification","Epsom","North Island general electorates","Male",1692
"Level 1 Certificate","Epsom","North Island general electorates","Male",1275
"Level 2 Certificate","Epsom","North Island general electorates","Male",1755
"Level 3 Certificate","Epsom","North Island general electorates","Male",2499
"Level 4 Certificate","Epsom","North Island general electorates","Male",1206
"Level 5 or Level 6 Diploma(1)","Epsom","North Island general electorates","Male",1743
"Bachelor Degree and Level 7 Qualification","Epsom","North Island general electorates","Male",6366
"Post-graduate and Honours Degrees","Epsom","North Island general electorates","Male",1164
"Masters Degree","Epsom","North Island general electorates","Male",1668
"Doctorate Degree","Epsom","North Island general electorates","Male",615
"Overseas Secondary School Qualification","Epsom","North Island general electorates","Male",2106
"Not Elsewhere Included(3)","Epsom","North Island general electorates","Male",2262
"No Qualification","Hamilton East","North Island general electorates","Male",3738
"Level 1 Certificate","Hamilton East","North Island general electorates","Male",2229
"Level 2 Certificate","Hamilton East","North Island general electorates","Male",2448
"Level 3 Certificate","Hamilton East","North Island general electorates","Male",3051
"Level 4 Certificate","Hamilton East","North Island general electorates","Male",2979
"Level 5 or Level 6 Diploma(1)","Hamilton East","North Island general electorates","Male",1959
"Bachelor Degree and Level 7 Qualification","Hamilton East","North Island general electorates","Male",3663
"Post-graduate and Honours Degrees","Hamilton East","North Island general electorates","Male",720
"Masters Degree","Hamilton East","North Island general electorates","Male",1014
"Doctorate Degree","Hamilton East","North Island general electorates","Male",495
"Overseas Secondary School Qualification","Hamilton East","North Island general electorates","Male",1455
"Not Elsewhere Included(3)","Hamilton East","North Island general electorates","Male",2769
"No Qualification","Hamilton West","North Island general electorates","Male",5265
"Level 1 Certificate","Hamilton West","North Island general electorates","Male",2910
"Level 2 Certificate","Hamilton West","North Island general electorates","Male",2526
"Level 3 Certificate","Hamilton West","North Island general electorates","Male",1989
"Level 4 Certificate","Hamilton West","North Island general electorates","Male",3729
"Level 5 or Level 6 Diploma(1)","Hamilton West","North Island general electorates","Male",1899
"Bachelor Degree and Level 7 Qualification","Hamilton West","North Island general electorates","Male",2574
"Post-graduate and Honours Degrees","Hamilton West","North Island general electorates","Male",489
"Masters Degree","Hamilton West","North Island general electorates","Male",510
"Doctorate Degree","Hamilton West","North Island general electorates","Male",162
"Overseas Secondary School Qualification","Hamilton West","North Island general electorates","Male",1149
"Not Elsewhere Included(3)","Hamilton West","North Island general electorates","Male",2853
"No Qualification","Helensville","North Island general electorates","Male",3399
"Level 1 Certificate","Helensville","North Island general electorates","Male",2535
"Level 2 Certificate","Helensville","North Island general electorates","Male",2418
"Level 3 Certificate","Helensville","North Island general electorates","Male",1920
"Level 4 Certificate","Helensville","North Island general electorates","Male",3648
"Level 5 or Level 6 Diploma(1)","Helensville","North Island general electorates","Male",1863
"Bachelor Degree and Level 7 Qualification","Helensville","North Island general electorates","Male",2397
"Post-graduate and Honours Degrees","Helensville","North Island general electorates","Male",525
"Masters Degree","Helensville","North Island general electorates","Male",663
"Doctorate Degree","Helensville","North Island general electorates","Male",195
"Overseas Secondary School Qualification","Helensville","North Island general electorates","Male",1281
"Not Elsewhere Included(3)","Helensville","North Island general electorates","Male",2775
"No Qualification","Hunua","North Island general electorates","Male",4647
"Level 1 Certificate","Hunua","North Island general electorates","Male",2832
"Level 2 Certificate","Hunua","North Island general electorates","Male",2283
"Level 3 Certificate","Hunua","North Island general electorates","Male",1611
"Level 4 Certificate","Hunua","North Island general electorates","Male",3993
"Level 5 or Level 6 Diploma(1)","Hunua","North Island general electorates","Male",1914
"Bachelor Degree and Level 7 Qualification","Hunua","North Island general electorates","Male",2148
"Post-graduate and Honours Degrees","Hunua","North Island general electorates","Male",360
"Masters Degree","Hunua","North Island general electorates","Male",429
"Doctorate Degree","Hunua","North Island general electorates","Male",96
"Overseas Secondary School Qualification","Hunua","North Island general electorates","Male",1464
"Not Elsewhere Included(3)","Hunua","North Island general electorates","Male",2379
"No Qualification","Hutt South","North Island general electorates","Male",4188
"Level 1 Certificate","Hutt South","North Island general electorates","Male",2481
"Level 2 Certificate","Hutt South","North Island general electorates","Male",2622
"Level 3 Certificate","Hutt South","North Island general electorates","Male",2280
"Level 4 Certificate","Hutt South","North Island general electorates","Male",3516
"Level 5 or Level 6 Diploma(1)","Hutt South","North Island general electorates","Male",2118
"Bachelor Degree and Level 7 Qualification","Hutt South","North Island general electorates","Male",3483
"Post-graduate and Honours Degrees","Hutt South","North Island general electorates","Male",726
"Masters Degree","Hutt South","North Island general electorates","Male",867
"Doctorate Degree","Hutt South","North Island general electorates","Male",426
"Overseas Secondary School Qualification","Hutt South","North Island general electorates","Male",1194
"Not Elsewhere Included(3)","Hutt South","North Island general electorates","Male",2385
"No Qualification","Kelston","North Island general electorates","Male",4395
"Level 1 Certificate","Kelston","North Island general electorates","Male",2250
"Level 2 Certificate","Kelston","North Island general electorates","Male",2040
"Level 3 Certificate","Kelston","North Island general electorates","Male",2040
"Level 4 Certificate","Kelston","North Island general electorates","Male",2481
"Level 5 or Level 6 Diploma(1)","Kelston","North Island general electorates","Male",1488
"Bachelor Degree and Level 7 Qualification","Kelston","North Island general electorates","Male",2343
"Post-graduate and Honours Degrees","Kelston","North Island general electorates","Male",360
"Masters Degree","Kelston","North Island general electorates","Male",543
"Doctorate Degree","Kelston","North Island general electorates","Male",99
"Overseas Secondary School Qualification","Kelston","North Island general electorates","Male",1908
"Not Elsewhere Included(3)","Kelston","North Island general electorates","Male",3090
"No Qualification","Mana","North Island general electorates","Male",4428
"Level 1 Certificate","Mana","North Island general electorates","Male",2646
"Level 2 Certificate","Mana","North Island general electorates","Male",2655
"Level 3 Certificate","Mana","North Island general electorates","Male",2028
"Level 4 Certificate","Mana","North Island general electorates","Male",3012
"Level 5 or Level 6 Diploma(1)","Mana","North Island general electorates","Male",1854
"Bachelor Degree and Level 7 Qualification","Mana","North Island general electorates","Male",2673
"Post-graduate and Honours Degrees","Mana","North Island general electorates","Male",579
"Masters Degree","Mana","North Island general electorates","Male",729
"Doctorate Degree","Mana","North Island general electorates","Male",198
"Overseas Secondary School Qualification","Mana","North Island general electorates","Male",1194
"Not Elsewhere Included(3)","Mana","North Island general electorates","Male",2934
"No Qualification","Mangere","North Island general electorates","Male",5913
"Level 1 Certificate","Mangere","North Island general electorates","Male",2250
"Level 2 Certificate","Mangere","North Island general electorates","Male",1935
"Level 3 Certificate","Mangere","North Island general electorates","Male",1857
"Level 4 Certificate","Mangere","North Island general electorates","Male",1704
"Level 5 or Level 6 Diploma(1)","Mangere","North Island general electorates","Male",1002
"Bachelor Degree and Level 7 Qualification","Mangere","North Island general electorates","Male",1050
"Post-graduate and Honours Degrees","Mangere","North Island general electorates","Male",162
"Masters Degree","Mangere","North Island general electorates","Male",207
"Doctorate Degree","Mangere","North Island general electorates","Male",30
"Overseas Secondary School Qualification","Mangere","North Island general electorates","Male",2025
"Not Elsewhere Included(3)","Mangere","North Island general electorates","Male",4365
"No Qualification","Manukau East","North Island general electorates","Male",5646
"Level 1 Certificate","Manukau East","North Island general electorates","Male",2097
"Level 2 Certificate","Manukau East","North Island general electorates","Male",1719
"Level 3 Certificate","Manukau East","North Island general electorates","Male",1791
"Level 4 Certificate","Manukau East","North Island general electorates","Male",1845
"Level 5 or Level 6 Diploma(1)","Manukau East","North Island general electorates","Male",1482
"Bachelor Degree and Level 7 Qualification","Manukau East","North Island general electorates","Male",1338
"Post-graduate and Honours Degrees","Manukau East","North Island general electorates","Male",186
"Masters Degree","Manukau East","North Island general electorates","Male",264
"Doctorate Degree","Manukau East","North Island general electorates","Male",24
"Overseas Secondary School Qualification","Manukau East","North Island general electorates","Male",2625
"Not Elsewhere Included(3)","Manukau East","North Island general electorates","Male",4236
"No Qualification","Manurewa","North Island general electorates","Male",6159
"Level 1 Certificate","Manurewa","North Island general electorates","Male",2607
"Level 2 Certificate","Manurewa","North Island general electorates","Male",2025
"Level 3 Certificate","Manurewa","North Island general electorates","Male",1833
"Level 4 Certificate","Manurewa","North Island general electorates","Male",2316
