"level0","level1","level2","Industry(1) (ANZSIC06 division)(2)","count"
"Agriculture, Forestry and Fishing","Auckland Central","North Island general electorates","Male",219
"Mining","Auckland Central","North Island general electorates","Male",6
"Manufacturing","Auckland Central","North Island general electorates","Male",771
"Electricity, Gas, Water and Waste Services","Auckland Central","North Island general electorates","Male",78
"Construction","Auckland Central","North Island general electorates","Male",969
"Wholesale Trade","Auckland Central","North Island general electorates","Male",855
"Retail Trade","Auckland Central","North Island general electorates","Male",1281
"Accommodation and Food Services","Auckland Central","North Island general electorates","Male",2172
"Transport, Postal and Warehousing","Auckland Central","North Island general electorates","Male",525
"Information Media and Telecommunications","Auckland Central","North Island general electorates","Male",966
"Financial and Insurance Services","Auckland Central","North Island general electorates","Male",1203
"Rental, Hiring and Real Estate Services","Auckland Central","North Island general electorates","Male",606
"Professional, Scientific and Technical Services","Auckland Central","North Island general electorates","Male",3084
"Administrative and Support Services","Auckland Central","North Island general electorates","Male",744
"Public Administration and Safety","Auckland Central","North Island general electorates","Male",525
"Education and Training","Auckland Central","North Island general electorates","Male",846
"Health Care and Social Assistance","Auckland Central","North Island general electorates","Male",609
"Arts and Recreation Services","Auckland Central","North Island general electorates","Male",420
"Other Services","Auckland Central","North Island general electorates","Male",489
"Not Elsewhere Included(4)","Auckland Central","North Island general electorates","Male",789
"Agriculture, Forestry and Fishing","Bay of Plenty","North Island general electorates","Male",1098
"Mining","Bay of Plenty","North Island general electorates","Male",48
"Manufacturing","Bay of Plenty","North Island general electorates","Male",1899
"Electricity, Gas, Water and Waste Services","Bay of Plenty","North Island general electorates","Male",117
"Construction","Bay of Plenty","North Island general electorates","Male",2469
"Wholesale Trade","Bay of Plenty","North Island general electorates","Male",1014
"Retail Trade","Bay of Plenty","North Island general electorates","Male",1293
"Accommodation and Food Services","Bay of Plenty","North Island general electorates","Male",489
"Transport, Postal and Warehousing","Bay of Plenty","North Island general electorates","Male",1314
"Information Media and Telecommunications","Bay of Plenty","North Island general electorates","Male",111
"Financial and Insurance Services","Bay of Plenty","North Island general electorates","Male",330
"Rental, Hiring and Real Estate Services","Bay of Plenty","North Island general electorates","Male",390
"Professional, Scientific and Technical Services","Bay of Plenty","North Island general electorates","Male",1023
"Administrative and Support Services","Bay of Plenty","North Island general electorates","Male",543
"Public Administration and Safety","Bay of Plenty","North Island general electorates","Male",474
"Education and Training","Bay of Plenty","North Island general electorates","Male",588
"Health Care and Social Assistance","Bay of Plenty","North Island general electorates","Male",531
"Arts and Recreation Services","Bay of Plenty","North Island general electorates","Male",225
"Other Services","Bay of Plenty","North Island general electorates","Male",684
"Not Elsewhere Included(4)","Bay of Plenty","North Island general electorates","Male",606
"Agriculture, Forestry and Fishing","Botany","North Island general electorates","Male",75
"Mining","Botany","North Island general electorates","Male",12
"Manufacturing","Botany","North Island general electorates","Male",2511
"Electricity, Gas, Water and Waste Services","Botany","North Island general electorates","Male",123
"Construction","Botany","North Island general electorates","Male",1419
"Wholesale Trade","Botany","North Island general electorates","Male",1590
"Retail Trade","Botany","North Island general electorates","Male",1557
"Accommodation and Food Services","Botany","North Island general electorates","Male",723
"Transport, Postal and Warehousing","Botany","North Island general electorates","Male",1122
"Information Media and Telecommunications","Botany","North Island general electorates","Male",297
"Financial and Insurance Services","Botany","North Island general electorates","Male",723
"Rental, Hiring and Real Estate Services","Botany","North Island general electorates","Male",408
"Professional, Scientific and Technical Services","Botany","North Island general electorates","Male",1404
"Administrative and Support Services","Botany","North Island general electorates","Male",486
"Public Administration and Safety","Botany","North Island general electorates","Male",498
"Education and Training","Botany","North Island general electorates","Male",579
"Health Care and Social Assistance","Botany","North Island general electorates","Male",507
"Arts and Recreation Services","Botany","North Island general electorates","Male",204
"Other Services","Botany","North Island general electorates","Male",666
"Not Elsewhere Included(4)","Botany","North Island general electorates","Male",594
"Agriculture, Forestry and Fishing","Coromandel","North Island general electorates","Male",3405
"Mining","Coromandel","North Island general electorates","Male",216
"Manufacturing","Coromandel","North Island general electorates","Male",1869
"Electricity, Gas, Water and Waste Services","Coromandel","North Island general electorates","Male",132
"Construction","Coromandel","North Island general electorates","Male",2184
"Wholesale Trade","Coromandel","North Island general electorates","Male",498
"Retail Trade","Coromandel","North Island general electorates","Male",1161
"Accommodation and Food Services","Coromandel","North Island general electorates","Male",630
"Transport, Postal and Warehousing","Coromandel","North Island general electorates","Male",657
"Information Media and Telecommunications","Coromandel","North Island general electorates","Male",84
"Financial and Insurance Services","Coromandel","North Island general electorates","Male",111
"Rental, Hiring and Real Estate Services","Coromandel","North Island general electorates","Male",474
"Professional, Scientific and Technical Services","Coromandel","North Island general electorates","Male",651
"Administrative and Support Services","Coromandel","North Island general electorates","Male",504
"Public Administration and Safety","Coromandel","North Island general electorates","Male",396
"Education and Training","Coromandel","North Island general electorates","Male",420
"Health Care and Social Assistance","Coromandel","North Island general electorates","Male",354
"Arts and Recreation Services","Coromandel","North Island general electorates","Male",219
"Other Services","Coromandel","North Island general electorates","Male",483
"Not Elsewhere Included(4)","Coromandel","North Island general electorates","Male",885
"Agriculture, Forestry and Fishing","East Coast","North Island general electorates","Male",4473
"Mining","East Coast","North Island general electorates","Male",45
"Manufacturing","East Coast","North Island general electorates","Male",2784
"Electricity, Gas, Water and Waste Services","East Coast","North Island general electorates","Male",183
"Construction","East Coast","North Island general electorates","Male",2331
"Wholesale Trade","East Coast","North Island general electorates","Male",582
"Retail Trade","East Coast","North Island general electorates","Male",1401
"Accommodation and Food Services","East Coast","North Island general electorates","Male",522
"Transport, Postal and Warehousing","East Coast","North Island general electorates","Male",1020
"Information Media and Telecommunications","East Coast","North Island general electorates","Male",153
"Financial and Insurance Services","East Coast","North Island general electorates","Male",180
"Rental, Hiring and Real Estate Services","East Coast","North Island general electorates","Male",354
"Professional, Scientific and Technical Services","East Coast","North Island general electorates","Male",711
"Administrative and Support Services","East Coast","North Island general electorates","Male",558
"Public Administration and Safety","East Coast","North Island general electorates","Male",750
"Education and Training","East Coast","North Island general electorates","Male",912
"Health Care and Social Assistance","East Coast","North Island general electorates","Male",648
"Arts and Recreation Services","East Coast","North Island general electorates","Male",210
"Other Services","East Coast","North Island general electorates","Male",753
"Not Elsewhere Included(4)","East Coast","North Island general electorates","Male",1134
"Agriculture, Forestry and Fishing","East Coast Bays","North Island general electorates","Male",69
"Mining","East Coast Bays","North Island general electorates","Male",9
"Manufacturing","East Coast Bays","North Island general electorates","Male",1461
"Electricity, Gas, Water and Waste Services","East Coast Bays","North Island general electorates","Male",78
"Construction","East Coast Bays","North Island general electorates","Male",1827
"Wholesale Trade","East Coast Bays","North Island general electorates","Male",1404
"Retail Trade","East Coast Bays","North Island general electorates","Male",1527
"Accommodation and Food Services","East Coast Bays","North Island general electorates","Male",771
"Transport, Postal and Warehousing","East Coast Bays","North Island general electorates","Male",627
"Information Media and Telecommunications","East Coast Bays","North Island general electorates","Male",474
"Financial and Insurance Services","East Coast Bays","North Island general electorates","Male",966
"Rental, Hiring and Real Estate Services","East Coast Bays","North Island general electorates","Male",444
"Professional, Scientific and Technical Services","East Coast Bays","North Island general electorates","Male",2139
"Administrative and Support Services","East Coast Bays","North Island general electorates","Male",555
"Public Administration and Safety","East Coast Bays","North Island general electorates","Male",720
"Education and Training","East Coast Bays","North Island general electorates","Male",672
"Health Care and Social Assistance","East Coast Bays","North Island general electorates","Male",432
"Arts and Recreation Services","East Coast Bays","North Island general electorates","Male",258
"Other Services","East Coast Bays","North Island general electorates","Male",597
"Not Elsewhere Included(4)","East Coast Bays","North Island general electorates","Male",474
"Agriculture, Forestry and Fishing","Epsom","North Island general electorates","Male",126
"Mining","Epsom","North Island general electorates","Male",6
"Manufacturing","Epsom","North Island general electorates","Male",1110
"Electricity, Gas, Water and Waste Services","Epsom","North Island general electorates","Male",72
"Construction","Epsom","North Island general electorates","Male",843
