"level0","level1","Iwi(1) (total responses)(2) and iwi groupings","count"
"Te Aupōuri","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",1032
"Ngāti Kahu","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",963
"Ngāti Kurī","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",837
"Ngāpuhi","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",18171
"Ngāpuhi ki Whaingaroa-Ngāti Kahu ki Whaingaroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",243
"Te Rarawa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",1833
"Ngāi Takoto","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",87
"Ngāti Wai","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",807
"Ngāti Whātua","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",1653
"Te Kawerau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",21
"Te Uri-o-Hau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",120
"Te Roroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",156
"Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region, not further defined","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Hauraki-Waikato",234
"Ngāti Hako","Hauraki (Coromandel) Region","Hauraki-Waikato",579
"Ngāti Hei","Hauraki (Coromandel) Region","Hauraki-Waikato",171
"Ngāti Maru (Hauraki)(3)","Hauraki (Coromandel) Region","Hauraki-Waikato",1245
"Ngāti Paoa","Hauraki (Coromandel) Region","Hauraki-Waikato",1194
"Patukirikiri","Hauraki (Coromandel) Region","Hauraki-Waikato",30
"Ngāti Porou ki Harataunga ki Mataora","Hauraki (Coromandel) Region","Hauraki-Waikato",468
"Ngāti Pūkenga ki Waiau","Hauraki (Coromandel) Region","Hauraki-Waikato",228
"Ngāti Rāhiri Tumutumu","Hauraki (Coromandel) Region","Hauraki-Waikato",72
"Ngāi Tai (Hauraki)","Hauraki (Coromandel) Region","Hauraki-Waikato",129
"Ngāti Tamaterā","Hauraki (Coromandel) Region","Hauraki-Waikato",1131
"Ngāti Tara Tokanui","Hauraki (Coromandel) Region","Hauraki-Waikato",339
"Ngāti Whanaunga","Hauraki (Coromandel) Region","Hauraki-Waikato",225
"Hauraki (Coromandel) Region, not further defined","Hauraki (Coromandel) Region","Hauraki-Waikato",33
"Ngāti Haua (Waikato)","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Hauraki-Waikato",2649
"Ngāti Maniapoto","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Hauraki-Waikato",9024
"Ngāti Raukawa (Waikato)","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Hauraki-Waikato",2559
"Waikato","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Hauraki-Waikato",16074
"Waikato/Te Rohe Pōtae (Waikato/King Country) Region, not further defined","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Hauraki-Waikato",390
"Ngāti Pikiao (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Hauraki-Waikato",981
"Ngāti Rangiteaorere (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Hauraki-Waikato",42
"Ngāti Rangitihi (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Hauraki-Waikato",291
"Ngāti Rangiwewehi (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Hauraki-Waikato",267
"Tapuika (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Hauraki-Waikato",159
