"level0","level1","Iwi(1) (total responses)(2) and iwi groupings","count"
"Te Aupōuri","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",108
"Ngāti Kahu","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",72
"Ngāti Kurī","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",72
"Ngāpuhi","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",1011
"Ngāpuhi ki Whaingaroa-Ngāti Kahu ki Whaingaroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",12
"Te Rarawa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",171
"Ngāi Takoto","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",15
"Ngāti Wai","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",102
"Ngāti Whātua","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",147
"Te Kawerau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",3
"Te Uri-o-Hau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",6
"Te Roroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",33
"Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region, not further defined","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Auckland Central",9
"Ngāti Hako","Hauraki (Coromandel) Region","Auckland Central",12
"Ngāti Hei","Hauraki (Coromandel) Region","Auckland Central",3
"Ngāti Maru (Hauraki)(3)","Hauraki (Coromandel) Region","Auckland Central",36
"Ngāti Paoa","Hauraki (Coromandel) Region","Auckland Central",33
"Patukirikiri","Hauraki (Coromandel) Region","Auckland Central",0
"Ngāti Porou ki Harataunga ki Mataora","Hauraki (Coromandel) Region","Auckland Central",15
"Ngāti Pūkenga ki Waiau","Hauraki (Coromandel) Region","Auckland Central",0
"Ngāti Rāhiri Tumutumu","Hauraki (Coromandel) Region","Auckland Central",3
"Ngāi Tai (Hauraki)","Hauraki (Coromandel) Region","Auckland Central",9
"Ngāti Tamaterā","Hauraki (Coromandel) Region","Auckland Central",24
"Ngāti Tara Tokanui","Hauraki (Coromandel) Region","Auckland Central",3
"Ngāti Whanaunga","Hauraki (Coromandel) Region","Auckland Central",9
"Hauraki (Coromandel) Region, not further defined","Hauraki (Coromandel) Region","Auckland Central",6
"Ngāti Haua (Waikato)","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Auckland Central",27
"Ngāti Maniapoto","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Auckland Central",195
"Ngāti Raukawa (Waikato)","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Auckland Central",54
"Waikato","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Auckland Central",222
"Waikato/Te Rohe Pōtae (Waikato/King Country) Region, not further defined","Waikato/Te Rohe Pōtae (Waikato/King Country) Region","Auckland Central",9
"Ngāti Pikiao (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",33
"Ngāti Rangiteaorere (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",3
"Ngāti Rangitihi (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",15
"Ngāti Rangiwewehi (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",21
"Tapuika (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",9
"Tarāwhai (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",0
"Tūhourangi (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",18
"Uenuku-Kōpako (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",12
"Waitaha (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",0
"Ngāti Whakaue (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",81
"Ngāti Tūwharetoa","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",189
"Ngāti Tahu-Ngāti Whaoa (Te Arawa)","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",12
"Te Arawa/Taupō (Rotorua/Taupō) Region, not further defined","Te Arawa/Taupō (Rotorua/Taupō) Region","Auckland Central",6
"Ngāti Pūkenga","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",12
"Ngaiterangi","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",60
"Ngāti Ranginui","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",42
"Ngāti Awa","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",126
"Ngāti Manawa","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",6
"Ngāi Tai (Tauranga Moana/Mātaatua)","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",21
"Tūhoe","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",126
"Whakatōhea","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",54
"Te Whānau-a-Apanui","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",84
"Ngāti Whare","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",6
"Tauranga Moana/Mātaatua (Bay of Plenty) Region, not further defined","Tauranga Moana/Mātaatua (Bay of Plenty) Region","Auckland Central",6
"Ngāti Porou","Te Tai Rāwhiti (East Coast) Region","Auckland Central",354
"Te Aitanga-a-Māhaki","Te Tai Rāwhiti (East Coast) Region","Auckland Central",39
"Rongowhakaata","Te Tai Rāwhiti (East Coast) Region","Auckland Central",36
"Ngāi Tāmanuhiri","Te Tai Rāwhiti (East Coast) Region","Auckland Central",3
"Te Tai Rāwhiti (East Coast) Region, not further defined","Te Tai Rāwhiti (East Coast) Region","Auckland Central",3
"Rongomaiwahine (Te Māhia)","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",18
"Ngāti Kahungunu ki Te Wairoa","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",111
"Ngāti Kahungunu ki Heretaunga","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",63
"Ngāti Kahungunu ki Wairarapa","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",33
"Ngāti Kahungunu, region unspecified","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",84
"Rangitāne (Te Matau-a-Māui/Hawke's Bay/Wairarapa)","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",9
"Ngāti Kahungunu ki Te Whanganui-a-Orotu","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",3
"Ngāti Kahungunu ki Tamatea","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",0
"Ngāti Kahungunu ki Tamakinui a Rua","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",0
"Ngāti Pāhauwera","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",6
"Ngāti Rākaipaaka","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",6
"Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region, not further defined","Te Matau-a-Māui/Wairarapa (Hawke's Bay/Wairarapa) Region","Auckland Central",3
"Te Atiawa (Taranaki)","Taranaki (Taranaki) Region","Auckland Central",111
"Ngāti Maru (Taranaki)","Taranaki (Taranaki) Region","Auckland Central",9
"Ngāti Mutunga (Taranaki)","Taranaki (Taranaki) Region","Auckland Central",6
"Ngā Rauru","Taranaki (Taranaki) Region","Auckland Central",24
"Ngā Ruahine","Taranaki (Taranaki) Region","Auckland Central",21
"Ngāti Ruanui","Taranaki (Taranaki) Region","Auckland Central",27
"Ngāti Tama (Taranaki)","Taranaki (Taranaki) Region","Auckland Central",6
"Taranaki","Taranaki (Taranaki) Region","Auckland Central",48
"Tangāhoe","Taranaki (Taranaki) Region","Auckland Central",3
"Pakakohi","Taranaki (Taranaki) Region","Auckland Central",0
"Taranaki (Taranaki) Region, not further defined","Taranaki (Taranaki) Region","Auckland Central",0
"Ngāti Apa (Rangitīkei)","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Auckland Central",12
"Te Ati Haunui-a-Pāpārangi","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Auckland Central",45
"Ngāti Haua (Taumarunui)","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Auckland Central",9
"Ngāti Hauiti","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Auckland Central",6
"Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region, not further defined","Whanganui/Rangitīkei (Wanganui/Rangitīkei) Region","Auckland Central",0
"Te Atiawa (Te Whanganui-a-Tara/Wellington)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Auckland Central",15
"Muaūpoko","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Auckland Central",6
"Rangitāne (Manawatū)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Auckland Central",6
"Ngāti Raukawa (Horowhenua/Manawatū)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Auckland Central",75
"Ngāti Toarangatira (Te Whanganui-a-Tara/Wellington)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Auckland Central",30
"Te Atiawa ki Whakarongotai","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Auckland Central",3
"Ngāti Tama ki Te Upoko o Te Ika (Te Whanganui-a-Tara/Wellington)","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Auckland Central",0
"Ngāti Kauwhata","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Auckland Central",0
"Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region, not further defined","Manawatū/Horowhenua/Te Whanganui-a-Tara(Manawatū/Horowhenua/Wellington) Region","Auckland Central",3
"Te Atiawa (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",15
"Ngāti Koata","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",6
"Ngāti Kuia","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",0
"Kāti Māmoe","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",6
"Moriori","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",3
"Ngāti Mutunga (Wharekauri/Chatham Islands)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",3
"Rangitāne (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",6
"Ngāti Rārua","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",6
"Ngāi Tahu / Kāi Tahu","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",372
"Ngāti Tama (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",3
"Ngāti Toarangatira (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",0
"Waitaha (Te Waipounamu/South Island)","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",3
"Ngāti Apa ki Te Rā Tō","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",3
"Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region, not further defined","Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region","Auckland Central",0
"Tainui","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",96
"Te Arawa","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",135
"Tākitimu","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Aotea","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",3
"Mātaatua","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Mahuru","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Māmari","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Ngātokimatawhaorua","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Nukutere","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Tokomaru","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Kurahaupō","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Muriwhenua","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Hauraki / Pare Hauraki","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Tūranganui a Kiwa","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Te Tauihu o Te Waka a Māui","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Tauranga Moana","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Horouta","Other Iwi not named, but waka or Iwi confederation known","Auckland Central",0
"Te Atiawa, region unspecified","Iwi Named but Region Unspecified","Auckland Central",33
"Ngāti Haua, region unspecified","Iwi Named but Region Unspecified","Auckland Central",3
"Ngāti Maru, region unspecified","Iwi Named but Region Unspecified","Auckland Central",9
"Ngāti Mutunga, region unspecified","Iwi Named but Region Unspecified","Auckland Central",3
"Rangitāne, region unspecified","Iwi Named but Region Unspecified","Auckland Central",6
"Ngāti Raukawa, region unspecified","Iwi Named but Region Unspecified","Auckland Central",30
"Ngāti Tama, region unspecified","Iwi Named but Region Unspecified","Auckland Central",3
"Ngāti Toa, region unspecified","Iwi Named but Region Unspecified","Auckland Central",6
"Waitaha, region unspecified","Iwi Named but Region Unspecified","Auckland Central",0
"Ngāti Apa, area unspecified","Iwi Named but Region Unspecified","Auckland Central",15
"Hapū affiliated to more than one iwi","Iwi Named but Region Unspecified","Auckland Central",39
"Don't know","Iwi Named but Region Unspecified","Auckland Central",831
"Not elsewhere included(5)","Iwi Named but Region Unspecified","Auckland Central",141
"Te Hiku(6)","Iwi groupings","Auckland Central",330
"Hauraki(7)","Iwi groupings","Auckland Central",120
"Ngāi Tahu Whānui(8)","Iwi groupings","Auckland Central",381
"Ngāti Kahungunu(9)","Iwi groupings","Auckland Central",294
"Ngāti Raukawa(10)","Iwi groupings","Auckland Central",159
"Ngāti Tama(11)","Iwi groupings","Auckland Central",12
"Te Arawa(12)","Iwi groupings","Auckland Central",306
"Te Atiawa(13)","Iwi groupings","Auckland Central",174
"Tūranganui a Kiwa(14)","Iwi groupings","Auckland Central",66
"Waikato–Tainui(15)","Iwi groupings","Auckland Central",339
"Ngāti Toarangatira(16)","Iwi groupings","Auckland Central",39
"Rangitāne(17)","Iwi groupings","Auckland Central",24
"Other iwi(18)","Iwi groupings","Auckland Central",2328
"Ngā Hotahota o te Whitau(19)","Iwi groupings","Auckland Central",834
"Not elsewhere included(5)","Iwi groupings","Auckland Central",141
"Te Aupōuri","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",114
"Ngāti Kahu","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",72
"Ngāti Kurī","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",63
"Ngāpuhi","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",1653
"Ngāpuhi ki Whaingaroa-Ngāti Kahu ki Whaingaroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",12
"Te Rarawa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",174
"Ngāi Takoto","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",12
"Ngāti Wai","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",48
"Ngāti Whātua","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",135
"Te Kawerau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",0
"Te Uri-o-Hau","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",15
"Te Roroa","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",12
"Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region, not further defined","Te Tai Tokerau/Tāmaki-makaurau (Northland/Auckland) Region","Bay of Plenty",12
"Ngāti Hako","Hauraki (Coromandel) Region","Bay of Plenty",12
"Ngāti Hei","Hauraki (Coromandel) Region","Bay of Plenty",12
"Ngāti Maru (Hauraki)(3)","Hauraki (Coromandel) Region","Bay of Plenty",81
"Ngāti Paoa","Hauraki (Coromandel) Region","Bay of Plenty",66
"Patukirikiri","Hauraki (Coromandel) Region","Bay of Plenty",0
"Ngāti Porou ki Harataunga ki Mataora","Hauraki (Coromandel) Region","Bay of Plenty",18
"Ngāti Pūkenga ki Waiau","Hauraki (Coromandel) Region","Bay of Plenty",24
"Ngāti Rāhiri Tumutumu","Hauraki (Coromandel) Region","Bay of Plenty",3
"Ngāi Tai (Hauraki)","Hauraki (Coromandel) Region","Bay of Plenty",3
"Ngāti Tamaterā","Hauraki (Coromandel) Region","Bay of Plenty",54
"Ngāti Tara Tokanui","Hauraki (Coromandel) Region","Bay of Plenty",3
"Ngāti Whanaunga","Hauraki (Coromandel) Region","Bay of Plenty",12
"Hauraki (Coromandel) Region, not further defined","Hauraki (Coromandel) Region","Bay of Plenty",3
