"level0","level1","level2","Languages spoken(1) (total responses)(2)","count"
"Male","0–4 Years","Hauraki-Waikato","English",4665
"Female","0–4 Years","Hauraki-Waikato","English",4413
"Male","5–9 Years","Hauraki-Waikato","English",5388
"Female","5–9 Years","Hauraki-Waikato","English",5148
"Male","10–14 Years","Hauraki-Waikato","English",5121
"Female","10–14 Years","Hauraki-Waikato","English",4884
"Male","15–19 Years","Hauraki-Waikato","English",4557
"Female","15–19 Years","Hauraki-Waikato","English",4620
"Male","20–24 Years","Hauraki-Waikato","English",3555
"Female","20–24 Years","Hauraki-Waikato","English",4185
"Male","25–29 Years","Hauraki-Waikato","English",2637
"Female","25–29 Years","Hauraki-Waikato","English",3345
"Male","30–34 Years","Hauraki-Waikato","English",2346
"Female","30–34 Years","Hauraki-Waikato","English",3003
"Male","35–39 Years","Hauraki-Waikato","English",2487
"Female","35–39 Years","Hauraki-Waikato","English",3129
"Male","40–44 Years","Hauraki-Waikato","English",2568
"Female","40–44 Years","Hauraki-Waikato","English",3270
"Male","45–49 Years","Hauraki-Waikato","English",2280
"Female","45–49 Years","Hauraki-Waikato","English",2907
"Male","50–54 Years","Hauraki-Waikato","English",2238
"Female","50–54 Years","Hauraki-Waikato","English",2697
"Male","55–59 Years","Hauraki-Waikato","English",1731
"Female","55–59 Years","Hauraki-Waikato","English",2067
"Male","60–64 Years","Hauraki-Waikato","English",1332
"Female","60–64 Years","Hauraki-Waikato","English",1536
"Male","65–69 Years","Hauraki-Waikato","English",939
"Female","65–69 Years","Hauraki-Waikato","English",1041
"Male","70–74 Years","Hauraki-Waikato","English",603
"Female","70–74 Years","Hauraki-Waikato","English",681
"Male","75–79 Years","Hauraki-Waikato","English",309
"Female","75–79 Years","Hauraki-Waikato","English",411
"Male","80–84 Years","Hauraki-Waikato","English",168
"Female","80–84 Years","Hauraki-Waikato","English",276
"Male","85 Years And Over","Hauraki-Waikato","English",69
"Female","85 Years And Over","Hauraki-Waikato","English",144
"Male","0–4 Years","Ikaroa-Rāwhiti","English",3930
"Female","0–4 Years","Ikaroa-Rāwhiti","English",3966
"Male","5–9 Years","Ikaroa-Rāwhiti","English",4770
"Female","5–9 Years","Ikaroa-Rāwhiti","English",4647
"Male","10–14 Years","Ikaroa-Rāwhiti","English",4638
"Female","10–14 Years","Ikaroa-Rāwhiti","English",4506
"Male","15–19 Years","Ikaroa-Rāwhiti","English",3993
"Female","15–19 Years","Ikaroa-Rāwhiti","English",3912
"Male","20–24 Years","Ikaroa-Rāwhiti","English",2772
"Female","20–24 Years","Ikaroa-Rāwhiti","English",3345
"Male","25–29 Years","Ikaroa-Rāwhiti","English",2109
"Female","25–29 Years","Ikaroa-Rāwhiti","English",2811
"Male","30–34 Years","Ikaroa-Rāwhiti","English",2079
"Female","30–34 Years","Ikaroa-Rāwhiti","English",2655
"Male","35–39 Years","Ikaroa-Rāwhiti","English",2193
"Female","35–39 Years","Ikaroa-Rāwhiti","English",2718
"Male","40–44 Years","Ikaroa-Rāwhiti","English",2325
"Female","40–44 Years","Ikaroa-Rāwhiti","English",2982
"Male","45–49 Years","Ikaroa-Rāwhiti","English",2217
"Female","45–49 Years","Ikaroa-Rāwhiti","English",2697
"Male","50–54 Years","Ikaroa-Rāwhiti","English",2172
"Female","50–54 Years","Ikaroa-Rāwhiti","English",2616
"Male","55–59 Years","Ikaroa-Rāwhiti","English",1788
"Female","55–59 Years","Ikaroa-Rāwhiti","English",2034
"Male","60–64 Years","Ikaroa-Rāwhiti","English",1458
"Female","60–64 Years","Ikaroa-Rāwhiti","English",1602
"Male","65–69 Years","Ikaroa-Rāwhiti","English",930
"Female","65–69 Years","Ikaroa-Rāwhiti","English",1110
"Male","70–74 Years","Ikaroa-Rāwhiti","English",636
"Female","70–74 Years","Ikaroa-Rāwhiti","English",762
"Male","75–79 Years","Ikaroa-Rāwhiti","English",372
"Female","75–79 Years","Ikaroa-Rāwhiti","English",513
"Male","80–84 Years","Ikaroa-Rāwhiti","English",207
"Female","80–84 Years","Ikaroa-Rāwhiti","English",291
"Male","85 Years And Over","Ikaroa-Rāwhiti","English",87
"Female","85 Years And Over","Ikaroa-Rāwhiti","English",177
"Male","0–4 Years","Tāmaki Makaurau","English",4134
"Female","0–4 Years","Tāmaki Makaurau","English",3909
"Male","5–9 Years","Tāmaki Makaurau","English",4695
"Female","5–9 Years","Tāmaki Makaurau","English",4482
"Male","10–14 Years","Tāmaki Makaurau","English",4347
"Female","10–14 Years","Tāmaki Makaurau","English",4140
"Male","15–19 Years","Tāmaki Makaurau","English",4272
"Female","15–19 Years","Tāmaki Makaurau","English",4515
"Male","20–24 Years","Tāmaki Makaurau","English",3651
"Female","20–24 Years","Tāmaki Makaurau","English",4548
"Male","25–29 Years","Tāmaki Makaurau","English",2667
"Female","25–29 Years","Tāmaki Makaurau","English",3492
"Male","30–34 Years","Tāmaki Makaurau","English",2388
"Female","30–34 Years","Tāmaki Makaurau","English",3108
"Male","35–39 Years","Tāmaki Makaurau","English",2472
"Female","35–39 Years","Tāmaki Makaurau","English",3030
"Male","40–44 Years","Tāmaki Makaurau","English",2583
"Female","40–44 Years","Tāmaki Makaurau","English",3204
"Male","45–49 Years","Tāmaki Makaurau","English",2379
"Female","45–49 Years","Tāmaki Makaurau","English",2817
"Male","50–54 Years","Tāmaki Makaurau","English",2103
"Female","50–54 Years","Tāmaki Makaurau","English",2568
"Male","55–59 Years","Tāmaki Makaurau","English",1575
"Female","55–59 Years","Tāmaki Makaurau","English",1992
"Male","60–64 Years","Tāmaki Makaurau","English",1170
"Female","60–64 Years","Tāmaki Makaurau","English",1452
"Male","65–69 Years","Tāmaki Makaurau","English",831
"Female","65–69 Years","Tāmaki Makaurau","English",957
"Male","70–74 Years","Tāmaki Makaurau","English",540
"Female","70–74 Years","Tāmaki Makaurau","English",666
"Male","75–79 Years","Tāmaki Makaurau","English",291
"Female","75–79 Years","Tāmaki Makaurau","English",390
"Male","80–84 Years","Tāmaki Makaurau","English",111
"Female","80–84 Years","Tāmaki Makaurau","English",234
"Male","85 Years And Over","Tāmaki Makaurau","English",54
"Female","85 Years And Over","Tāmaki Makaurau","English",138
"Male","0–4 Years","Te Tai Hauāuru","English",4758
"Female","0–4 Years","Te Tai Hauāuru","English",4560
"Male","5–9 Years","Te Tai Hauāuru","English",5562
