"level0","level1","level2","level3","Languages spoken(1) (total responses)(2)","count"
"Male","0–4 Years","Auckland Central","North Island general electorates","English",681
"Female","0–4 Years","Auckland Central","North Island general electorates","English",651
"Male","5–9 Years","Auckland Central","North Island general electorates","English",816
"Female","5–9 Years","Auckland Central","North Island general electorates","English",765
"Male","10–14 Years","Auckland Central","North Island general electorates","English",642
"Female","10–14 Years","Auckland Central","North Island general electorates","English",669
"Male","15–19 Years","Auckland Central","North Island general electorates","English",1980
"Female","15–19 Years","Auckland Central","North Island general electorates","English",2211
"Male","20–24 Years","Auckland Central","North Island general electorates","English",4275
"Female","20–24 Years","Auckland Central","North Island general electorates","English",4218
"Male","25–29 Years","Auckland Central","North Island general electorates","English",4122
"Female","25–29 Years","Auckland Central","North Island general electorates","English",3957
"Male","30–34 Years","Auckland Central","North Island general electorates","English",3039
"Female","30–34 Years","Auckland Central","North Island general electorates","English",2733
"Male","35–39 Years","Auckland Central","North Island general electorates","English",1872
"Female","35–39 Years","Auckland Central","North Island general electorates","English",1851
"Male","40–44 Years","Auckland Central","North Island general electorates","English",1713
"Female","40–44 Years","Auckland Central","North Island general electorates","English",1566
"Male","45–49 Years","Auckland Central","North Island general electorates","English",1482
"Female","45–49 Years","Auckland Central","North Island general electorates","English",1389
"Male","50–54 Years","Auckland Central","North Island general electorates","English",1431
"Female","50–54 Years","Auckland Central","North Island general electorates","English",1362
"Male","55–59 Years","Auckland Central","North Island general electorates","English",1206
"Female","55–59 Years","Auckland Central","North Island general electorates","English",1206
"Male","60–64 Years","Auckland Central","North Island general electorates","English",1167
"Female","60–64 Years","Auckland Central","North Island general electorates","English",1110
"Male","65–69 Years","Auckland Central","North Island general electorates","English",870
"Female","65–69 Years","Auckland Central","North Island general electorates","English",816
"Male","70–74 Years","Auckland Central","North Island general electorates","English",552
"Female","70–74 Years","Auckland Central","North Island general electorates","English",465
"Male","75–79 Years","Auckland Central","North Island general electorates","English",279
"Female","75–79 Years","Auckland Central","North Island general electorates","English",234
"Male","80–84 Years","Auckland Central","North Island general electorates","English",159
"Female","80–84 Years","Auckland Central","North Island general electorates","English",201
"Male","85 Years And Over","Auckland Central","North Island general electorates","English",129
"Female","85 Years And Over","Auckland Central","North Island general electorates","English",198
"Male","0–4 Years","Bay of Plenty","North Island general electorates","English",1725
"Female","0–4 Years","Bay of Plenty","North Island general electorates","English",1686
"Male","5–9 Years","Bay of Plenty","North Island general electorates","English",2292
"Female","5–9 Years","Bay of Plenty","North Island general electorates","English",2256
"Male","10–14 Years","Bay of Plenty","North Island general electorates","English",2268
"Female","10–14 Years","Bay of Plenty","North Island general electorates","English",2163
"Male","15–19 Years","Bay of Plenty","North Island general electorates","English",1890
"Female","15–19 Years","Bay of Plenty","North Island general electorates","English",1791
"Male","20–24 Years","Bay of Plenty","North Island general electorates","English",1326
"Female","20–24 Years","Bay of Plenty","North Island general electorates","English",1395
"Male","25–29 Years","Bay of Plenty","North Island general electorates","English",1236
"Female","25–29 Years","Bay of Plenty","North Island general electorates","English",1479
