"level0","level1","Legally registered relationship status(1)","count"
"Auckland Central","North Island general electorates","Married (not separated)",13299
"Bay of Plenty","North Island general electorates","Married (not separated)",25398
"Botany","North Island general electorates","Married (not separated)",27024
"Coromandel","North Island general electorates","Married (not separated)",25779
"East Coast","North Island general electorates","Married (not separated)",27330
"East Coast Bays","North Island general electorates","Married (not separated)",25146
"Epsom","North Island general electorates","Married (not separated)",22530
"Hamilton East","North Island general electorates","Married (not separated)",22200
"Hamilton West","North Island general electorates","Married (not separated)",21735
"Helensville","North Island general electorates","Married (not separated)",22860
"Hunua","North Island general electorates","Married (not separated)",25320
"Hutt South","North Island general electorates","Married (not separated)",24267
"Kelston","North Island general electorates","Married (not separated)",18786
"Mana","North Island general electorates","Married (not separated)",22407
"Mangere","North Island general electorates","Married (not separated)",17391
"Manukau East","North Island general electorates","Married (not separated)",18618
"Manurewa","North Island general electorates","Married (not separated)",19389
"Maungakiekie","North Island general electorates","Married (not separated)",20529
"Mt Albert","North Island general electorates","Married (not separated)",17874
"Mt Roskill","North Island general electorates","Married (not separated)",21855
"Napier","North Island general electorates","Married (not separated)",23679
"New Lynn","North Island general electorates","Married (not separated)",22554
"New Plymouth","North Island general electorates","Married (not separated)",24327
"North Shore","North Island general electorates","Married (not separated)",25767
"Northcote","North Island general electorates","Married (not separated)",23235
"Northland","North Island general electorates","Married (not separated)",27168
"Ohariu","North Island general electorates","Married (not separated)",23808
"Otaki","North Island general electorates","Married (not separated)",24195
"Pakuranga","North Island general electorates","Married (not separated)",25938
"Palmerston North","North Island general electorates","Married (not separated)",20331
"Papakura","North Island general electorates","Married (not separated)",23688
"Rangitikei","North Island general electorates","Married (not separated)",24483
"Rimutaka","North Island general electorates","Married (not separated)",22233
"Rodney","North Island general electorates","Married (not separated)",26349
"Rongotai","North Island general electorates","Married (not separated)",18735
"Rotorua","North Island general electorates","Married (not separated)",23898
"Tamaki","North Island general electorates","Married (not separated)",22917
"Taranaki-King Country","North Island general electorates","Married (not separated)",24483
"Taupo","North Island general electorates","Married (not separated)",25893
"Tauranga","North Island general electorates","Married (not separated)",23169
"Te Atatu","North Island general electorates","Married (not separated)",22437
"Tukituki","North Island general electorates","Married (not separated)",24534
"Upper Harbour","North Island general electorates","Married (not separated)",23931
"Waikato","North Island general electorates","Married (not separated)",26184
"Wairarapa","North Island general electorates","Married (not separated)",24852
"Wellington Central","North Island general electorates","Married (not separated)",15654
"Whanganui","North Island general electorates","Married (not separated)",23133
"Whangarei","North Island general electorates","Married (not separated)",25197
"Christchurch Central","South Island general electorates","Married (not separated)",17805
"Christchurch East","South Island general electorates","Married (not separated)",20418
"Clutha-Southland","South Island general electorates","Married (not separated)",24924
"Dunedin North","South Island general electorates","Married (not separated)",16665
"Dunedin South","South Island general electorates","Married (not separated)",22614
"Ilam","South Island general electorates","Married (not separated)",22803
"Invercargill","South Island general electorates","Married (not separated)",22836
"Kaikoura","South Island general electorates","Married (not separated)",25998
"Nelson","South Island general electorates","Married (not separated)",23553
"Port Hills","South Island general electorates","Married (not separated)",24864
"Rangitata","South Island general electorates","Married (not separated)",25263
"Selwyn","South Island general electorates","Married (not separated)",25116
"Waimakariri","South Island general electorates","Married (not separated)",25215
"Waitaki","South Island general electorates","Married (not separated)",27648
"West Coast-Tasman","South Island general electorates","Married (not separated)",23154
"Wigram","South Island general electorates","Married (not separated)",18432
"Area Outside General Electorate","South Island general electorates","Married (not separated)",NA
"Auckland Central","North Island general electorates","Separated(2)",1302
"Bay of Plenty","North Island general electorates","Separated(2)",1686
"Botany","North Island general electorates","Separated(2)",1155
"Coromandel","North Island general electorates","Separated(2)",1929
"East Coast","North Island general electorates","Separated(2)",2652
"East Coast Bays","North Island general electorates","Separated(2)",1179
"Epsom","North Island general electorates","Separated(2)",1149
"Hamilton East","North Island general electorates","Separated(2)",1686
"Hamilton West","North Island general electorates","Separated(2)",1971
"Helensville","North Island general electorates","Separated(2)",1341
"Hunua","North Island general electorates","Separated(2)",1572
