"level0","level1","level2","Māori descent indicator(1) ","count"
"0–4 Years","Auckland Central","North Island general electorates","Māori descent",294
"5–9 Years","Auckland Central","North Island general electorates","Māori descent",291
"10–14 Years","Auckland Central","North Island general electorates","Māori descent",258
"15–19 Years","Auckland Central","North Island general electorates","Māori descent",522
"20–24 Years","Auckland Central","North Island general electorates","Māori descent",579
"25–29 Years","Auckland Central","North Island general electorates","Māori descent",447
"30–34 Years","Auckland Central","North Island general electorates","Māori descent",372
"35–39 Years","Auckland Central","North Island general electorates","Māori descent",348
"40–44 Years","Auckland Central","North Island general electorates","Māori descent",324
"45–49 Years","Auckland Central","North Island general electorates","Māori descent",273
"50–54 Years","Auckland Central","North Island general electorates","Māori descent",282
"55–59 Years","Auckland Central","North Island general electorates","Māori descent",219
"60–64 Years","Auckland Central","North Island general electorates","Māori descent",162
"65–69 Years","Auckland Central","North Island general electorates","Māori descent",99
"70–74 Years","Auckland Central","North Island general electorates","Māori descent",54
"75–79 Years","Auckland Central","North Island general electorates","Māori descent",33
"80–84 Years","Auckland Central","North Island general electorates","Māori descent",15
"85 Years And Over","Auckland Central","North Island general electorates","Māori descent",9
"18 Years And Over","Auckland Central","North Island general electorates","Māori descent",3588
"0–4 Years","Bay of Plenty","North Island general electorates","Māori descent",1527
"5–9 Years","Bay of Plenty","North Island general electorates","Māori descent",1587
"10–14 Years","Bay of Plenty","North Island general electorates","Māori descent",1476
"15–19 Years","Bay of Plenty","North Island general electorates","Māori descent",1182
"20–24 Years","Bay of Plenty","North Island general electorates","Māori descent",855
"25–29 Years","Bay of Plenty","North Island general electorates","Māori descent",765
"30–34 Years","Bay of Plenty","North Island general electorates","Māori descent",786
"35–39 Years","Bay of Plenty","North Island general electorates","Māori descent",801
"40–44 Years","Bay of Plenty","North Island general electorates","Māori descent",816
"45–49 Years","Bay of Plenty","North Island general electorates","Māori descent",744
"50–54 Years","Bay of Plenty","North Island general electorates","Māori descent",711
"55–59 Years","Bay of Plenty","North Island general electorates","Māori descent",552
"60–64 Years","Bay of Plenty","North Island general electorates","Māori descent",432
"65–69 Years","Bay of Plenty","North Island general electorates","Māori descent",297
"70–74 Years","Bay of Plenty","North Island general electorates","Māori descent",225
"75–79 Years","Bay of Plenty","North Island general electorates","Māori descent",123
"80–84 Years","Bay of Plenty","North Island general electorates","Māori descent",87
"85 Years And Over","Bay of Plenty","North Island general electorates","Māori descent",36
"18 Years And Over","Bay of Plenty","North Island general electorates","Māori descent",7593
"0–4 Years","Botany","North Island general electorates","Māori descent",501
"5–9 Years","Botany","North Island general electorates","Māori descent",540
"10–14 Years","Botany","North Island general electorates","Māori descent",489
"15–19 Years","Botany","North Island general electorates","Māori descent",480
"20–24 Years","Botany","North Island general electorates","Māori descent",369
"25–29 Years","Botany","North Island general electorates","Māori descent",273
"30–34 Years","Botany","North Island general electorates","Māori descent",243
"35–39 Years","Botany","North Island general electorates","Māori descent",252
"40–44 Years","Botany","North Island general electorates","Māori descent",273
"45–49 Years","Botany","North Island general electorates","Māori descent",294
"50–54 Years","Botany","North Island general electorates","Māori descent",213
"55–59 Years","Botany","North Island general electorates","Māori descent",180
"60–64 Years","Botany","North Island general electorates","Māori descent",138
"65–69 Years","Botany","North Island general electorates","Māori descent",84
"70–74 Years","Botany","North Island general electorates","Māori descent",54
"75–79 Years","Botany","North Island general electorates","Māori descent",21
"80–84 Years","Botany","North Island general electorates","Māori descent",15
"85 Years And Over","Botany","North Island general electorates","Māori descent",6
"18 Years And Over","Botany","North Island general electorates","Māori descent",2592
"0–4 Years","Coromandel","North Island general electorates","Māori descent",1377
"5–9 Years","Coromandel","North Island general electorates","Māori descent",1320
"10–14 Years","Coromandel","North Island general electorates","Māori descent",1329
"15–19 Years","Coromandel","North Island general electorates","Māori descent",1074
"20–24 Years","Coromandel","North Island general electorates","Māori descent",747
"25–29 Years","Coromandel","North Island general electorates","Māori descent",621
"30–34 Years","Coromandel","North Island general electorates","Māori descent",564
"35–39 Years","Coromandel","North Island general electorates","Māori descent",663
"40–44 Years","Coromandel","North Island general electorates","Māori descent",777
"45–49 Years","Coromandel","North Island general electorates","Māori descent",723
"50–54 Years","Coromandel","North Island general electorates","Māori descent",750
"55–59 Years","Coromandel","North Island general electorates","Māori descent",651
"60–64 Years","Coromandel","North Island general electorates","Māori descent",546
"65–69 Years","Coromandel","North Island general electorates","Māori descent",390
"70–74 Years","Coromandel","North Island general electorates","Māori descent",306
"75–79 Years","Coromandel","North Island general electorates","Māori descent",183
"80–84 Years","Coromandel","North Island general electorates","Māori descent",84
"85 Years And Over","Coromandel","North Island general electorates","Māori descent",63
"18 Years And Over","Coromandel","North Island general electorates","Māori descent",7431
"0–4 Years","East Coast","North Island general electorates","Māori descent",4407
"5–9 Years","East Coast","North Island general electorates","Māori descent",4674
"10–14 Years","East Coast","North Island general electorates","Māori descent",4635
"15–19 Years","East Coast","North Island general electorates","Māori descent",3849
"20–24 Years","East Coast","North Island general electorates","Māori descent",2811
"25–29 Years","East Coast","North Island general electorates","Māori descent",2292
