"level0","level1","level2","Number of children born alive","count"
"15–19 Years","Auckland Central","North Island general electorates","No Children",2205
"20–24 Years","Auckland Central","North Island general electorates","No Children",4131
"25–29 Years","Auckland Central","North Island general electorates","No Children",3612
"30–34 Years","Auckland Central","North Island general electorates","No Children",2139
"35–39 Years","Auckland Central","North Island general electorates","No Children",984
"40–44 Years","Auckland Central","North Island general electorates","No Children",633
"45–49 Years","Auckland Central","North Island general electorates","No Children",486
"50–54 Years","Auckland Central","North Island general electorates","No Children",405
"55–59 Years","Auckland Central","North Island general electorates","No Children",291
"60–64 Years","Auckland Central","North Island general electorates","No Children",210
"65–69 Years","Auckland Central","North Island general electorates","No Children",126
"70–74 Years","Auckland Central","North Island general electorates","No Children",57
"75–79 Years","Auckland Central","North Island general electorates","No Children",45
"80–84 Years","Auckland Central","North Island general electorates","No Children",39
"85 Years And Over","Auckland Central","North Island general electorates","No Children",39
"15–19 Years","Bay of Plenty","North Island general electorates","No Children",1680
"20–24 Years","Bay of Plenty","North Island general electorates","No Children",954
"25–29 Years","Bay of Plenty","North Island general electorates","No Children",672
"30–34 Years","Bay of Plenty","North Island general electorates","No Children",453
"35–39 Years","Bay of Plenty","North Island general electorates","No Children",303
"40–44 Years","Bay of Plenty","North Island general electorates","No Children",279
"45–49 Years","Bay of Plenty","North Island general electorates","No Children",288
"50–54 Years","Bay of Plenty","North Island general electorates","No Children",261
"55–59 Years","Bay of Plenty","North Island general electorates","No Children",219
"60–64 Years","Bay of Plenty","North Island general electorates","No Children",171
"65–69 Years","Bay of Plenty","North Island general electorates","No Children",150
"70–74 Years","Bay of Plenty","North Island general electorates","No Children",111
"75–79 Years","Bay of Plenty","North Island general electorates","No Children",72
"80–84 Years","Bay of Plenty","North Island general electorates","No Children",48
"85 Years And Over","Bay of Plenty","North Island general electorates","No Children",66
"15–19 Years","Botany","North Island general electorates","No Children",2124
"20–24 Years","Botany","North Island general electorates","No Children",1737
"25–29 Years","Botany","North Island general electorates","No Children",1341
"30–34 Years","Botany","North Island general electorates","No Children",708
"35–39 Years","Botany","North Island general electorates","No Children",339
"40–44 Years","Botany","North Island general electorates","No Children",291
"45–49 Years","Botany","North Island general electorates","No Children",255
"50–54 Years","Botany","North Island general electorates","No Children",204
"55–59 Years","Botany","North Island general electorates","No Children",150
"60–64 Years","Botany","North Island general electorates","No Children",135
"65–69 Years","Botany","North Island general electorates","No Children",69
"70–74 Years","Botany","North Island general electorates","No Children",54
"75–79 Years","Botany","North Island general electorates","No Children",24
"80–84 Years","Botany","North Island general electorates","No Children",24
"85 Years And Over","Botany","North Island general electorates","No Children",21
"15–19 Years","Coromandel","North Island general electorates","No Children",1431
"20–24 Years","Coromandel","North Island general electorates","No Children",741
"25–29 Years","Coromandel","North Island general electorates","No Children",471
"30–34 Years","Coromandel","North Island general electorates","No Children",279
"35–39 Years","Coromandel","North Island general electorates","No Children",225
"40–44 Years","Coromandel","North Island general electorates","No Children",276
"45–49 Years","Coromandel","North Island general electorates","No Children",273
"50–54 Years","Coromandel","North Island general electorates","No Children",300
"55–59 Years","Coromandel","North Island general electorates","No Children",255
"60–64 Years","Coromandel","North Island general electorates","No Children",225
"65–69 Years","Coromandel","North Island general electorates","No Children",186
"70–74 Years","Coromandel","North Island general electorates","No Children",156
"75–79 Years","Coromandel","North Island general electorates","No Children",81
"80–84 Years","Coromandel","North Island general electorates","No Children",69
"85 Years And Over","Coromandel","North Island general electorates","No Children",63
"15–19 Years","East Coast","North Island general electorates","No Children",2526
"20–24 Years","East Coast","North Island general electorates","No Children",1254
"25–29 Years","East Coast","North Island general electorates","No Children",765
"30–34 Years","East Coast","North Island general electorates","No Children",489
"35–39 Years","East Coast","North Island general electorates","No Children",348
"40–44 Years","East Coast","North Island general electorates","No Children",360
"45–49 Years","East Coast","North Island general electorates","No Children",369
"50–54 Years","East Coast","North Island general electorates","No Children",363
"55–59 Years","East Coast","North Island general electorates","No Children",294
"60–64 Years","East Coast","North Island general electorates","No Children",204
"65–69 Years","East Coast","North Island general electorates","No Children",159
"70–74 Years","East Coast","North Island general electorates","No Children",123
"75–79 Years","East Coast","North Island general electorates","No Children",75
"80–84 Years","East Coast","North Island general electorates","No Children",72
"85 Years And Over","East Coast","North Island general electorates","No Children",72
"15–19 Years","East Coast Bays","North Island general electorates","No Children",2127
"20–24 Years","East Coast Bays","North Island general electorates","No Children",1773
