"level0","Number of motor vehicles","count"
"Hauraki-Waikato","No Motor Vehicle",8235
"Ikaroa-Rāwhiti","No Motor Vehicle",8340
"Tāmaki Makaurau","No Motor Vehicle",8703
"Te Tai Hauāuru","No Motor Vehicle",8913
"Te Tai Tokerau","No Motor Vehicle",6708
"Te Tai Tonga","No Motor Vehicle",8589
"Waiariki","No Motor Vehicle",7227
"Area Outside Māori Electorate","No Motor Vehicle",NA
"Hauraki-Waikato","One Motor Vehicle",28890
"Ikaroa-Rāwhiti","One Motor Vehicle",29580
"Tāmaki Makaurau","One Motor Vehicle",24936
"Te Tai Hauāuru","One Motor Vehicle",33840
"Te Tai Tokerau","One Motor Vehicle",29847
"Te Tai Tonga","One Motor Vehicle",37095
"Waiariki","One Motor Vehicle",27945
"Area Outside Māori Electorate","One Motor Vehicle",NA
"Hauraki-Waikato","Two Motor Vehicles",33969
"Ikaroa-Rāwhiti","Two Motor Vehicles",28929
"Tāmaki Makaurau","Two Motor Vehicles",29889
"Te Tai Hauāuru","Two Motor Vehicles",34626
"Te Tai Tokerau","Two Motor Vehicles",35298
"Te Tai Tonga","Two Motor Vehicles",45726
"Waiariki","Two Motor Vehicles",30522
"Area Outside Māori Electorate","Two Motor Vehicles",NA
"Hauraki-Waikato","Three or More Motor Vehicles",17574
"Ikaroa-Rāwhiti","Three or More Motor Vehicles",12750
"Tāmaki Makaurau","Three or More Motor Vehicles",19317
"Te Tai Hauāuru","Three or More Motor Vehicles",13782
"Te Tai Tokerau","Three or More Motor Vehicles",18621
"Te Tai Tonga","Three or More Motor Vehicles",22368
"Waiariki","Three or More Motor Vehicles",12882
"Area Outside Māori Electorate","Three or More Motor Vehicles",NA
"Hauraki-Waikato","Not Elsewhere Included(3)",1854
"Ikaroa-Rāwhiti","Not Elsewhere Included(3)",1515
"Tāmaki Makaurau","Not Elsewhere Included(3)",1962
"Te Tai Hauāuru","Not Elsewhere Included(3)",1509
"Te Tai Tokerau","Not Elsewhere Included(3)",1767
"Te Tai Tonga","Not Elsewhere Included(3)",1746
"Waiariki","Not Elsewhere Included(3)",1572
"Area Outside Māori Electorate","Not Elsewhere Included(3)",NA
