"level0","level1","Number of motor vehicles","count"
"Auckland Central","North Island general electorates","No Motor Vehicle",13002
"Bay of Plenty","North Island general electorates","No Motor Vehicle",1935
"Botany","North Island general electorates","No Motor Vehicle",1191
"Coromandel","North Island general electorates","No Motor Vehicle",2694
"East Coast","North Island general electorates","No Motor Vehicle",6393
"East Coast Bays","North Island general electorates","No Motor Vehicle",990
"Epsom","North Island general electorates","No Motor Vehicle",2028
"Hamilton East","North Island general electorates","No Motor Vehicle",4182
"Hamilton West","North Island general electorates","No Motor Vehicle",3927
"Helensville","North Island general electorates","No Motor Vehicle",624
"Hunua","North Island general electorates","No Motor Vehicle",1635
"Hutt South","North Island general electorates","No Motor Vehicle",3906
"Kelston","North Island general electorates","No Motor Vehicle",2937
"Mana","North Island general electorates","No Motor Vehicle",4608
"Mangere","North Island general electorates","No Motor Vehicle",3816
"Manukau East","North Island general electorates","No Motor Vehicle",4668
"Manurewa","North Island general electorates","No Motor Vehicle",4638
"Maungakiekie","North Island general electorates","No Motor Vehicle",4353
"Mt Albert","North Island general electorates","No Motor Vehicle",3252
"Mt Roskill","North Island general electorates","No Motor Vehicle",3009
"Napier","North Island general electorates","No Motor Vehicle",3990
"New Lynn","North Island general electorates","No Motor Vehicle",2709
"New Plymouth","North Island general electorates","No Motor Vehicle",3396
"North Shore","North Island general electorates","No Motor Vehicle",1788
"Northcote","North Island general electorates","No Motor Vehicle",2043
"Northland","North Island general electorates","No Motor Vehicle",3966
"Ohariu","North Island general electorates","No Motor Vehicle",1815
"Otaki","North Island general electorates","No Motor Vehicle",3750
"Pakuranga","North Island general electorates","No Motor Vehicle",1368
"Palmerston North","North Island general electorates","No Motor Vehicle",4182
"Papakura","North Island general electorates","No Motor Vehicle",3903
"Rangitikei","North Island general electorates","No Motor Vehicle",2751
"Rimutaka","North Island general electorates","No Motor Vehicle",4713
"Rodney","North Island general electorates","No Motor Vehicle",1497
"Rongotai","North Island general electorates","No Motor Vehicle",5673
"Rotorua","North Island general electorates","No Motor Vehicle",4764
"Tamaki","North Island general electorates","No Motor Vehicle",2049
"Taranaki-King Country","North Island general electorates","No Motor Vehicle",2079
"Taupo","North Island general electorates","No Motor Vehicle",3414
"Tauranga","North Island general electorates","No Motor Vehicle",2868
"Te Atatu","North Island general electorates","No Motor Vehicle",3021
"Tukituki","North Island general electorates","No Motor Vehicle",4095
"Upper Harbour","North Island general electorates","No Motor Vehicle",1509
"Waikato","North Island general electorates","No Motor Vehicle",2529
"Wairarapa","North Island general electorates","No Motor Vehicle",3321
"Wellington Central","North Island general electorates","No Motor Vehicle",11544
"Whanganui","North Island general electorates","No Motor Vehicle",4494
"Whangarei","North Island general electorates","No Motor Vehicle",4026
"Christchurch Central","South Island general electorates","No Motor Vehicle",4641
"Christchurch East","South Island general electorates","No Motor Vehicle",3240
"Clutha-Southland","South Island general electorates","No Motor Vehicle",1800
"Dunedin North","South Island general electorates","No Motor Vehicle",4881
"Dunedin South","South Island general electorates","No Motor Vehicle",3504
"Ilam","South Island general electorates","No Motor Vehicle",1881
"Invercargill","South Island general electorates","No Motor Vehicle",2961
"Kaikoura","South Island general electorates","No Motor Vehicle",2085
"Nelson","South Island general electorates","No Motor Vehicle",2433
"Port Hills","South Island general electorates","No Motor Vehicle",2031
"Rangitata","South Island general electorates","No Motor Vehicle",2496
"Selwyn","South Island general electorates","No Motor Vehicle",453
"Waimakariri","South Island general electorates","No Motor Vehicle",1053
"Waitaki","South Island general electorates","No Motor Vehicle",1884
"West Coast-Tasman","South Island general electorates","No Motor Vehicle",1902
"Wigram","South Island general electorates","No Motor Vehicle",3168
"Area Outside General Electorate","South Island general electorates","No Motor Vehicle",NA
"Auckland Central","North Island general electorates","One Motor Vehicle",20115
"Bay of Plenty","North Island general electorates","One Motor Vehicle",17361
"Botany","North Island general electorates","One Motor Vehicle",11436
"Coromandel","North Island general electorates","One Motor Vehicle",20466
"East Coast","North Island general electorates","One Motor Vehicle",30186
"East Coast Bays","North Island general electorates","One Motor Vehicle",11898
"Epsom","North Island general electorates","One Motor Vehicle",15678
"Hamilton East","North Island general electorates","One Motor Vehicle",20226
"Hamilton West","North Island general electorates","One Motor Vehicle",21972
