"level0","level1","level2","Occupation(1) (ANZSCO major group)(2) ","count"
"Managers","Auckland Central","North Island general electorates","Male",3699
"Professionals","Auckland Central","North Island general electorates","Male",5352
"Technicians and Trades Workers","Auckland Central","North Island general electorates","Male",1905
"Community and Personal Service Workers","Auckland Central","North Island general electorates","Male",1281
"Clerical and Administrative Workers","Auckland Central","North Island general electorates","Male",1062
"Sales Workers","Auckland Central","North Island general electorates","Male",1431
"Machinery Operators and Drivers","Auckland Central","North Island general electorates","Male",375
"Labourers","Auckland Central","North Island general electorates","Male",1080
"Not Elsewhere Included(4)","Auckland Central","North Island general electorates","Male",963
"Managers","Bay of Plenty","North Island general electorates","Male",3417
"Professionals","Bay of Plenty","North Island general electorates","Male",2118
"Technicians and Trades Workers","Bay of Plenty","North Island general electorates","Male",2985
"Community and Personal Service Workers","Bay of Plenty","North Island general electorates","Male",648
"Clerical and Administrative Workers","Bay of Plenty","North Island general electorates","Male",633
"Sales Workers","Bay of Plenty","North Island general electorates","Male",1074
"Machinery Operators and Drivers","Bay of Plenty","North Island general electorates","Male",1518
"Labourers","Bay of Plenty","North Island general electorates","Male",2145
"Not Elsewhere Included(4)","Bay of Plenty","North Island general electorates","Male",714
"Managers","Botany","North Island general electorates","Male",3561
"Professionals","Botany","North Island general electorates","Male",3015
"Technicians and Trades Workers","Botany","North Island general electorates","Male",2634
"Community and Personal Service Workers","Botany","North Island general electorates","Male",669
"Clerical and Administrative Workers","Botany","North Island general electorates","Male",1095
"Sales Workers","Botany","North Island general electorates","Male",1413
"Machinery Operators and Drivers","Botany","North Island general electorates","Male",1188
"Labourers","Botany","North Island general electorates","Male",1119
"Not Elsewhere Included(4)","Botany","North Island general electorates","Male",807
"Managers","Coromandel","North Island general electorates","Male",4401
"Professionals","Coromandel","North Island general electorates","Male",1437
"Technicians and Trades Workers","Coromandel","North Island general electorates","Male",2562
"Community and Personal Service Workers","Coromandel","North Island general electorates","Male",525
"Clerical and Administrative Workers","Coromandel","North Island general electorates","Male",408
"Sales Workers","Coromandel","North Island general electorates","Male",798
"Machinery Operators and Drivers","Coromandel","North Island general electorates","Male",1449
"Labourers","Coromandel","North Island general electorates","Male",2859
"Not Elsewhere Included(4)","Coromandel","North Island general electorates","Male",888
"Managers","East Coast","North Island general electorates","Male",4107
"Professionals","East Coast","North Island general electorates","Male",2187
"Technicians and Trades Workers","East Coast","North Island general electorates","Male",3237
"Community and Personal Service Workers","East Coast","North Island general electorates","Male",855
"Clerical and Administrative Workers","East Coast","North Island general electorates","Male",618
"Sales Workers","East Coast","North Island general electorates","Male",879
"Machinery Operators and Drivers","East Coast","North Island general electorates","Male",2283
"Labourers","East Coast","North Island general electorates","Male",4254
"Not Elsewhere Included(4)","East Coast","North Island general electorates","Male",1281
"Managers","East Coast Bays","North Island general electorates","Male",4140
"Professionals","East Coast Bays","North Island general electorates","Male",3576
"Technicians and Trades Workers","East Coast Bays","North Island general electorates","Male",2430
"Community and Personal Service Workers","East Coast Bays","North Island general electorates","Male",846
"Clerical and Administrative Workers","East Coast Bays","North Island general electorates","Male",873
"Sales Workers","East Coast Bays","North Island general electorates","Male",1398
"Machinery Operators and Drivers","East Coast Bays","North Island general electorates","Male",660
"Labourers","East Coast Bays","North Island general electorates","Male",936
"Not Elsewhere Included(4)","East Coast Bays","North Island general electorates","Male",651
"Managers","Epsom","North Island general electorates","Male",4353
"Professionals","Epsom","North Island general electorates","Male",5595
"Technicians and Trades Workers","Epsom","North Island general electorates","Male",1371
"Community and Personal Service Workers","Epsom","North Island general electorates","Male",750
"Clerical and Administrative Workers","Epsom","North Island general electorates","Male",903
"Sales Workers","Epsom","North Island general electorates","Male",1224
"Machinery Operators and Drivers","Epsom","North Island general electorates","Male",384
"Labourers","Epsom","North Island general electorates","Male",621
"Not Elsewhere Included(4)","Epsom","North Island general electorates","Male",747
"Managers","Hamilton East","North Island general electorates","Male",3042
"Professionals","Hamilton East","North Island general electorates","Male",3714
"Technicians and Trades Workers","Hamilton East","North Island general electorates","Male",2730
"Community and Personal Service Workers","Hamilton East","North Island general electorates","Male",966
