"level0","Occupied dwelling type","count"
"Hauraki-Waikato","Separate house",80238
"Ikaroa-Rāwhiti","Separate house",70914
"Tāmaki Makaurau","Separate house",66573
"Te Tai Hauāuru","Separate house",83346
"Te Tai Tokerau","Separate house",80250
"Te Tai Tonga","Separate house",96375
"Waiariki","Separate house",70569
"Area Outside Māori Electorate","Separate house",NA
"Hauraki-Waikato","Two or more flats/units/ townhouses/ apartments/ houses joined together",7659
"Ikaroa-Rāwhiti","Two or more flats/units/ townhouses/ apartments/ houses joined together",7767
"Tāmaki Makaurau","Two or more flats/units/ townhouses/ apartments/ houses joined together",15666
"Te Tai Hauāuru","Two or more flats/units/ townhouses/ apartments/ houses joined together",7158
"Te Tai Tokerau","Two or more flats/units/ townhouses/ apartments/ houses joined together",8634
"Te Tai Tonga","Two or more flats/units/ townhouses/ apartments/ houses joined together",16299
"Waiariki","Two or more flats/units/ townhouses/ apartments/ houses joined together",6642
"Area Outside Māori Electorate","Two or more flats/units/ townhouses/ apartments/ houses joined together",NA
"Hauraki-Waikato","Other occupied private dwellings(2)",459
"Ikaroa-Rāwhiti","Other occupied private dwellings(2)",321
"Tāmaki Makaurau","Other occupied private dwellings(2)",279
"Te Tai Hauāuru","Other occupied private dwellings(2)",273
"Te Tai Tokerau","Other occupied private dwellings(2)",675
"Te Tai Tonga","Other occupied private dwellings(2)",642
"Waiariki","Other occupied private dwellings(2)",642
"Area Outside Māori Electorate","Other occupied private dwellings(2)",NA
"Hauraki-Waikato","Occupied private dwelling not further defined(3)",2166
"Ikaroa-Rāwhiti","Occupied private dwelling not further defined(3)",2112
"Tāmaki Makaurau","Occupied private dwelling not further defined(3)",2289
"Te Tai Hauāuru","Occupied private dwelling not further defined(3)",1899
"Te Tai Tokerau","Occupied private dwelling not further defined(3)",2679
"Te Tai Tonga","Occupied private dwelling not further defined(3)",2211
"Waiariki","Occupied private dwelling not further defined(3)",2301
"Area Outside Māori Electorate","Occupied private dwelling not further defined(3)",NA
"Hauraki-Waikato","Institution",789
"Ikaroa-Rāwhiti","Institution",744
"Tāmaki Makaurau","Institution",1035
"Te Tai Hauāuru","Institution",1032
"Te Tai Tokerau","Institution",636
"Te Tai Tonga","Institution",1764
"Waiariki","Institution",336
"Area Outside Māori Electorate","Institution",NA
"Hauraki-Waikato","Other non–private dwellings(4)",171
"Ikaroa-Rāwhiti","Other non–private dwellings(4)",240
"Tāmaki Makaurau","Other non–private dwellings(4)",732
"Te Tai Hauāuru","Other non–private dwellings(4)",249
"Te Tai Tokerau","Other non–private dwellings(4)",162
"Te Tai Tonga","Other non–private dwellings(4)",669
"Waiariki","Other non–private dwellings(4)",171
"Area Outside Māori Electorate","Other non–private dwellings(4)",NA
"Hauraki-Waikato","Occupied non–private dwelling not further defined(5)",6
"Ikaroa-Rāwhiti","Occupied non–private dwelling not further defined(5)",0
"Tāmaki Makaurau","Occupied non–private dwelling not further defined(5)",27
"Te Tai Hauāuru","Occupied non–private dwelling not further defined(5)",6
"Te Tai Tokerau","Occupied non–private dwelling not further defined(5)",6
"Te Tai Tonga","Occupied non–private dwelling not further defined(5)",12
"Waiariki","Occupied non–private dwelling not further defined(5)",3
"Area Outside Māori Electorate","Occupied non–private dwelling not further defined(5)",NA
