"level0","level1","Occupied dwelling type","count"
"Auckland Central","North Island general electorates","Separate house",19044
"Bay of Plenty","North Island general electorates","Separate house",55842
"Botany","North Island general electorates","Separate house",54012
"Coromandel","North Island general electorates","Separate house",57057
"East Coast","North Island general electorates","Separate house",78015
"East Coast Bays","North Island general electorates","Separate house",46407
"Epsom","North Island general electorates","Separate house",35766
"Hamilton East","North Island general electorates","Separate house",56160
"Hamilton West","North Island general electorates","Separate house",57054
"Helensville","North Island general electorates","Separate house",52629
"Hunua","North Island general electorates","Separate house",56907
"Hutt South","North Island general electorates","Separate house",55383
"Kelston","North Island general electorates","Separate house",49230
"Mana","North Island general electorates","Separate house",55863
"Mangere","North Island general electorates","Separate house",51522
"Manukau East","North Island general electorates","Separate house",41976
"Manurewa","North Island general electorates","Separate house",57462
"Maungakiekie","North Island general electorates","Separate house",43155
"Mt Albert","North Island general electorates","Separate house",41994
"Mt Roskill","North Island general electorates","Separate house",45279
"Napier","North Island general electorates","Separate house",57696
"New Lynn","North Island general electorates","Separate house",46821
"New Plymouth","North Island general electorates","Separate house",57891
"North Shore","North Island general electorates","Separate house",47874
"Northcote","North Island general electorates","Separate house",49641
"Northland","North Island general electorates","Separate house",68592
"Ohariu","North Island general electorates","Separate house",49107
"Otaki","North Island general electorates","Separate house",53454
"Pakuranga","North Island general electorates","Separate house",48507
"Palmerston North","North Island general electorates","Separate house",53340
"Papakura","North Island general electorates","Separate house",61467
"Rangitikei","North Island general electorates","Separate house",59961
"Rimutaka","North Island general electorates","Separate house",53577
"Rodney","North Island general electorates","Separate house",50610
"Rongotai","North Island general electorates","Separate house",42261
"Rotorua","North Island general electorates","Separate house",61845
"Tamaki","North Island general electorates","Separate house",42447
"Taranaki-King Country","North Island general electorates","Separate house",59898
"Taupo","North Island general electorates","Separate house",63969
"Tauranga","North Island general electorates","Separate house",48756
"Te Atatu","North Island general electorates","Separate house",54528
"Tukituki","North Island general electorates","Separate house",59457
"Upper Harbour","North Island general electorates","Separate house",56655
"Waikato","North Island general electorates","Separate house",64515
"Wairarapa","North Island general electorates","Separate house",58965
"Wellington Central","North Island general electorates","Separate house",29265
"Whanganui","North Island general electorates","Separate house",61614
"Whangarei","North Island general electorates","Separate house",59589
"Christchurch Central","South Island general electorates","Separate house",38601
"Christchurch East","South Island general electorates","Separate house",52446
"Clutha-Southland","South Island general electorates","Separate house",53193
"Dunedin North","South Island general electorates","Separate house",44778
