"level0","level1","Partnership status in current relationship(1)","count"
"Auckland Central","North Island general electorates","Spouse(2)",12393
"Bay of Plenty","North Island general electorates","Spouse(2)",24963
"Botany","North Island general electorates","Spouse(2)",26190
"Coromandel","North Island general electorates","Spouse(2)",25200
"East Coast","North Island general electorates","Spouse(2)",26466
"East Coast Bays","North Island general electorates","Spouse(2)",24489
"Epsom","North Island general electorates","Spouse(2)",21624
"Hamilton East","North Island general electorates","Spouse(2)",21405
"Hamilton West","North Island general electorates","Spouse(2)",21096
"Helensville","North Island general electorates","Spouse(2)",22536
"Hunua","North Island general electorates","Spouse(2)",24897
"Hutt South","North Island general electorates","Spouse(2)",23778
"Kelston","North Island general electorates","Spouse(2)",18180
"Mana","North Island general electorates","Spouse(2)",21921
"Mangere","North Island general electorates","Spouse(2)",16497
"Manukau East","North Island general electorates","Spouse(2)",17733
"Manurewa","North Island general electorates","Spouse(2)",18522
"Maungakiekie","North Island general electorates","Spouse(2)",19761
"Mt Albert","North Island general electorates","Spouse(2)",17292
"Mt Roskill","North Island general electorates","Spouse(2)",20958
"Napier","North Island general electorates","Spouse(2)",23145
"New Lynn","North Island general electorates","Spouse(2)",21735
"New Plymouth","North Island general electorates","Spouse(2)",23802
"North Shore","North Island general electorates","Spouse(2)",25137
"Northcote","North Island general electorates","Spouse(2)",22569
"Northland","North Island general electorates","Spouse(2)",26469
"Ohariu","North Island general electorates","Spouse(2)",23361
"Otaki","North Island general electorates","Spouse(2)",23583
"Pakuranga","North Island general electorates","Spouse(2)",25059
"Palmerston North","North Island general electorates","Spouse(2)",19701
"Papakura","North Island general electorates","Spouse(2)",23076
"Rangitikei","North Island general electorates","Spouse(2)",23970
"Rimutaka","North Island general electorates","Spouse(2)",21669
"Rodney","North Island general electorates","Spouse(2)",25890
"Rongotai","North Island general electorates","Spouse(2)",18204
"Rotorua","North Island general electorates","Spouse(2)",23229
"Tamaki","North Island general electorates","Spouse(2)",22395
"Taranaki-King Country","North Island general electorates","Spouse(2)",23967
"Taupo","North Island general electorates","Spouse(2)",25266
"Tauranga","North Island general electorates","Spouse(2)",22494
"Te Atatu","North Island general electorates","Spouse(2)",21723
"Tukituki","North Island general electorates","Spouse(2)",23952
"Upper Harbour","North Island general electorates","Spouse(2)",23331
"Waikato","North Island general electorates","Spouse(2)",25632
"Wairarapa","North Island general electorates","Spouse(2)",24255
"Wellington Central","North Island general electorates","Spouse(2)",15087
"Whanganui","North Island general electorates","Spouse(2)",22503
"Whangarei","North Island general electorates","Spouse(2)",24549
"Christchurch Central","South Island general electorates","Spouse(2)",17109
"Christchurch East","South Island general electorates","Spouse(2)",19941
"Clutha-Southland","South Island general electorates","Spouse(2)",24420
"Dunedin North","South Island general electorates","Spouse(2)",16185
"Dunedin South","South Island general electorates","Spouse(2)",22143
"Ilam","South Island general electorates","Spouse(2)",22092
"Invercargill","South Island general electorates","Spouse(2)",22335
"Kaikoura","South Island general electorates","Spouse(2)",25449
"Nelson","South Island general electorates","Spouse(2)",23022
"Port Hills","South Island general electorates","Spouse(2)",24405
"Rangitata","South Island general electorates","Spouse(2)",24726
"Selwyn","South Island general electorates","Spouse(2)",24777
"Waimakariri","South Island general electorates","Spouse(2)",24798
"Waitaki","South Island general electorates","Spouse(2)",27021
"West Coast-Tasman","South Island general electorates","Spouse(2)",22704
"Wigram","South Island general electorates","Spouse(2)",17598
"Area Outside General Electorate","South Island general electorates","Spouse(2)",NA
"Auckland Central","North Island general electorates","De facto partner(3)",9525
"Bay of Plenty","North Island general electorates","De facto partner(3)",6357
