"level0","level1","Religious affiliation (total responses)(1)","count"
"Auckland Central","North Island general electorates","Anglican",4263
"Bay of Plenty","North Island general electorates","Anglican",7950
"Botany","North Island general electorates","Anglican",4557
"Coromandel","North Island general electorates","Anglican",8649
"East Coast","North Island general electorates","Anglican",13575
"East Coast Bays","North Island general electorates","Anglican",5772
"Epsom","North Island general electorates","Anglican",9318
"Hamilton East","North Island general electorates","Anglican",6930
"Hamilton West","North Island general electorates","Anglican",6123
"Helensville","North Island general electorates","Anglican",5727
"Hunua","North Island general electorates","Anglican",7011
"Hutt South","North Island general electorates","Anglican",7440
"Kelston","North Island general electorates","Anglican",3291
"Mana","North Island general electorates","Anglican",6501
"Mangere","North Island general electorates","Anglican",2433
"Manukau East","North Island general electorates","Anglican",2244
"Manurewa","North Island general electorates","Anglican",3558
"Maungakiekie","North Island general electorates","Anglican",4644
"Mt Albert","North Island general electorates","Anglican",4635
"Mt Roskill","North Island general electorates","Anglican",3972
"Napier","North Island general electorates","Anglican",10719
"New Lynn","North Island general electorates","Anglican",3828
"New Plymouth","North Island general electorates","Anglican",8694
"North Shore","North Island general electorates","Anglican",7920
"Northcote","North Island general electorates","Anglican",5391
"Northland","North Island general electorates","Anglican",11616
"Ohariu","North Island general electorates","Anglican",6567
"Otaki","North Island general electorates","Anglican",10101
"Pakuranga","North Island general electorates","Anglican",6213
"Palmerston North","North Island general electorates","Anglican",7422
"Papakura","North Island general electorates","Anglican",6189
"Rangitikei","North Island general electorates","Anglican",9822
"Rimutaka","North Island general electorates","Anglican",6999
"Rodney","North Island general electorates","Anglican",8304
"Rongotai","North Island general electorates","Anglican",5046
"Rotorua","North Island general electorates","Anglican",8946
"Tamaki","North Island general electorates","Anglican",9027
"Taranaki-King Country","North Island general electorates","Anglican",8382
"Taupo","North Island general electorates","Anglican",9648
"Tauranga","North Island general electorates","Anglican",7449
"Te Atatu","North Island general electorates","Anglican",4272
"Tukituki","North Island general electorates","Anglican",10674
"Upper Harbour","North Island general electorates","Anglican",4800
"Waikato","North Island general electorates","Anglican",8871
"Wairarapa","North Island general electorates","Anglican",11811
"Wellington Central","North Island general electorates","Anglican",5949
"Whanganui","North Island general electorates","Anglican",8607
"Whangarei","North Island general electorates","Anglican",8691
"Christchurch Central","South Island general electorates","Anglican",7530
"Christchurch East","South Island general electorates","Anglican",7233
"Clutha-Southland","South Island general electorates","Anglican",4980
"Dunedin North","South Island general electorates","Anglican",4401
"Dunedin South","South Island general electorates","Anglican",4317
"Ilam","South Island general electorates","Anglican",9843
"Invercargill","South Island general electorates","Anglican",3903
"Kaikoura","South Island general electorates","Anglican",10617
"Nelson","South Island general electorates","Anglican",8103
"Port Hills","South Island general electorates","Anglican",9522
"Rangitata","South Island general electorates","Anglican",8406
"Selwyn","South Island general electorates","Anglican",9777
"Waimakariri","South Island general electorates","Anglican",9360
"Waitaki","South Island general electorates","Anglican",7083
"West Coast-Tasman","South Island general electorates","Anglican",7908
"Wigram","South Island general electorates","Anglican",6246
"Area Outside General Electorate","South Island general electorates","Anglican",NA
"Auckland Central","North Island general electorates","Baptist",393
"Bay of Plenty","North Island general electorates","Baptist",1188
"Botany","North Island general electorates","Baptist",1236
"Coromandel","North Island general electorates","Baptist",1014
"East Coast","North Island general electorates","Baptist",738
"East Coast Bays","North Island general electorates","Baptist",1791
"Epsom","North Island general electorates","Baptist",582
"Hamilton East","North Island general electorates","Baptist",918
"Hamilton West","North Island general electorates","Baptist",762
"Helensville","North Island general electorates","Baptist",1110
"Hunua","North Island general electorates","Baptist",1032
"Hutt South","North Island general electorates","Baptist",1053
"Kelston","North Island general electorates","Baptist",927
"Mana","North Island general electorates","Baptist",885
"Mangere","North Island general electorates","Baptist",441
"Manukau East","North Island general electorates","Baptist",525
"Manurewa","North Island general electorates","Baptist",735
"Maungakiekie","North Island general electorates","Baptist",639
"Mt Albert","North Island general electorates","Baptist",687
"Mt Roskill","North Island general electorates","Baptist",951
"Napier","North Island general electorates","Baptist",606
"New Lynn","North Island general electorates","Baptist",1182
"New Plymouth","North Island general electorates","Baptist",843
"North Shore","North Island general electorates","Baptist",1071
"Northcote","North Island general electorates","Baptist",1050
"Northland","North Island general electorates","Baptist",714
"Ohariu","North Island general electorates","Baptist",690
"Otaki","North Island general electorates","Baptist",711
"Pakuranga","North Island general electorates","Baptist",1233
"Palmerston North","North Island general electorates","Baptist",870
"Papakura","North Island general electorates","Baptist",774
"Rangitikei","North Island general electorates","Baptist",585
"Rimutaka","North Island general electorates","Baptist",894
"Rodney","North Island general electorates","Baptist",2028
"Rongotai","North Island general electorates","Baptist",465
"Rotorua","North Island general electorates","Baptist",675
"Tamaki","North Island general electorates","Baptist",501
"Taranaki-King Country","North Island general electorates","Baptist",669
"Taupo","North Island general electorates","Baptist",855
"Tauranga","North Island general electorates","Baptist",1593
"Te Atatu","North Island general electorates","Baptist",1107
"Tukituki","North Island general electorates","Baptist",702
"Upper Harbour","North Island general electorates","Baptist",1218
"Waikato","North Island general electorates","Baptist",1122
"Wairarapa","North Island general electorates","Baptist",243
"Wellington Central","North Island general electorates","Baptist",516
"Whanganui","North Island general electorates","Baptist",801
"Whangarei","North Island general electorates","Baptist",921
"Christchurch Central","South Island general electorates","Baptist",813
"Christchurch East","South Island general electorates","Baptist",720
"Clutha-Southland","South Island general electorates","Baptist",348
"Dunedin North","South Island general electorates","Baptist",672
"Dunedin South","South Island general electorates","Baptist",768
"Ilam","South Island general electorates","Baptist",870
"Invercargill","South Island general electorates","Baptist",612
"Kaikoura","South Island general electorates","Baptist",567
"Nelson","South Island general electorates","Baptist",816
"Port Hills","South Island general electorates","Baptist",1110
"Rangitata","South Island general electorates","Baptist",744
"Selwyn","South Island general electorates","Baptist",867
"Waimakariri","South Island general electorates","Baptist",1239
"Waitaki","South Island general electorates","Baptist",489
"West Coast-Tasman","South Island general electorates","Baptist",312
"Wigram","South Island general electorates","Baptist",1158
"Area Outside General Electorate","South Island general electorates","Baptist",NA
"Auckland Central","North Island general electorates","Catholic",6927
"Bay of Plenty","North Island general electorates","Catholic",6288
"Botany","North Island general electorates","Catholic",7863
"Coromandel","North Island general electorates","Catholic",5838
"East Coast","North Island general electorates","Catholic",8274
"East Coast Bays","North Island general electorates","Catholic",5829
"Epsom","North Island general electorates","Catholic",7356
"Hamilton East","North Island general electorates","Catholic",8028
"Hamilton West","North Island general electorates","Catholic",7620
"Helensville","North Island general electorates","Catholic",5412
"Hunua","North Island general electorates","Catholic",6513
"Hutt South","North Island general electorates","Catholic",10428
"Kelston","North Island general electorates","Catholic",7599
"Mana","North Island general electorates","Catholic",9360
"Mangere","North Island general electorates","Catholic",8943
