"level0","level1","Sector of landlord","count"
"Auckland Central","North Island general electorates","Private Person, Trust or Business",23868
"Bay of Plenty","North Island general electorates","Private Person, Trust or Business",15729
"Botany","North Island general electorates","Private Person, Trust or Business",13614
"Coromandel","North Island general electorates","Private Person, Trust or Business",14634
"East Coast","North Island general electorates","Private Person, Trust or Business",23211
"East Coast Bays","North Island general electorates","Private Person, Trust or Business",13059
"Epsom","North Island general electorates","Private Person, Trust or Business",17142
"Hamilton East","North Island general electorates","Private Person, Trust or Business",21024
"Hamilton West","North Island general electorates","Private Person, Trust or Business",21906
"Helensville","North Island general electorates","Private Person, Trust or Business",10131
"Hunua","North Island general electorates","Private Person, Trust or Business",12828
"Hutt South","North Island general electorates","Private Person, Trust or Business",13788
"Kelston","North Island general electorates","Private Person, Trust or Business",15999
"Mana","North Island general electorates","Private Person, Trust or Business",12753
"Mangere","North Island general electorates","Private Person, Trust or Business",13914
"Manukau East","North Island general electorates","Private Person, Trust or Business",16920
"Manurewa","North Island general electorates","Private Person, Trust or Business",19272
"Maungakiekie","North Island general electorates","Private Person, Trust or Business",19116
"Mt Albert","North Island general electorates","Private Person, Trust or Business",19410
"Mt Roskill","North Island general electorates","Private Person, Trust or Business",15864
"Napier","North Island general electorates","Private Person, Trust or Business",15879
"New Lynn","North Island general electorates","Private Person, Trust or Business",14577
"New Plymouth","North Island general electorates","Private Person, Trust or Business",14526
"North Shore","North Island general electorates","Private Person, Trust or Business",14832
"Northcote","North Island general electorates","Private Person, Trust or Business",15825
"Northland","North Island general electorates","Private Person, Trust or Business",17592
"Ohariu","North Island general electorates","Private Person, Trust or Business",12681
"Otaki","North Island general electorates","Private Person, Trust or Business",12801
"Pakuranga","North Island general electorates","Private Person, Trust or Business",14889
"Palmerston North","North Island general electorates","Private Person, Trust or Business",18888
"Papakura","North Island general electorates","Private Person, Trust or Business",17148
"Rangitikei","North Island general electorates","Private Person, Trust or Business",12963
"Rimutaka","North Island general electorates","Private Person, Trust or Business",13572
"Rodney","North Island general electorates","Private Person, Trust or Business",13770
"Rongotai","North Island general electorates","Private Person, Trust or Business",18591
"Rotorua","North Island general electorates","Private Person, Trust or Business",19992
"Tamaki","North Island general electorates","Private Person, Trust or Business",12003
"Taranaki-King Country","North Island general electorates","Private Person, Trust or Business",13998
"Taupo","North Island general electorates","Private Person, Trust or Business",18909
"Tauranga","North Island general electorates","Private Person, Trust or Business",17559
"Te Atatu","North Island general electorates","Private Person, Trust or Business",17538
"Tukituki","North Island general electorates","Private Person, Trust or Business",16971
"Upper Harbour","North Island general electorates","Private Person, Trust or Business",14901
"Waikato","North Island general electorates","Private Person, Trust or Business",15780
"Wairarapa","North Island general electorates","Private Person, Trust or Business",13824
"Wellington Central","North Island general electorates","Private Person, Trust or Business",24873
"Whanganui","North Island general electorates","Private Person, Trust or Business",15786
"Whangarei","North Island general electorates","Private Person, Trust or Business",16710
"Christchurch Central","South Island general electorates","Private Person, Trust or Business",22140
"Christchurch East","South Island general electorates","Private Person, Trust or Business",14196
"Clutha-Southland","South Island general electorates","Private Person, Trust or Business",15237
"Dunedin North","South Island general electorates","Private Person, Trust or Business",18138
"Dunedin South","South Island general electorates","Private Person, Trust or Business",10044
"Ilam","South Island general electorates","Private Person, Trust or Business",15150
"Invercargill","South Island general electorates","Private Person, Trust or Business",12498
"Kaikoura","South Island general electorates","Private Person, Trust or Business",12090
"Nelson","South Island general electorates","Private Person, Trust or Business",13830
"Port Hills","South Island general electorates","Private Person, Trust or Business",11631
"Rangitata","South Island general electorates","Private Person, Trust or Business",13011
"Selwyn","South Island general electorates","Private Person, Trust or Business",8631
"Waimakariri","South Island general electorates","Private Person, Trust or Business",8754
"Waitaki","South Island general electorates","Private Person, Trust or Business",12408
"West Coast-Tasman","South Island general electorates","Private Person, Trust or Business",10980
"Wigram","South Island general electorates","Private Person, Trust or Business",17595
"Area Outside General Electorate","South Island general electorates","Private Person, Trust or Business",NA
"Auckland Central","North Island general electorates","Local Authority or City Council",57
"Bay of Plenty","North Island general electorates","Local Authority or City Council",165
"Botany","North Island general electorates","Local Authority or City Council",18
"Coromandel","North Island general electorates","Local Authority or City Council",180
"East Coast","North Island general electorates","Local Authority or City Council",345
"East Coast Bays","North Island general electorates","Local Authority or City Council",54
"Epsom","North Island general electorates","Local Authority or City Council",33
"Hamilton East","North Island general electorates","Local Authority or City Council",270
"Hamilton West","North Island general electorates","Local Authority or City Council",201
"Helensville","North Island general electorates","Local Authority or City Council",87
"Hunua","North Island general electorates","Local Authority or City Council",123
"Hutt South","North Island general electorates","Local Authority or City Council",162
"Kelston","North Island general electorates","Local Authority or City Council",117
"Mana","North Island general electorates","Local Authority or City Council",84
"Mangere","North Island general electorates","Local Authority or City Council",219
"Manukau East","North Island general electorates","Local Authority or City Council",240
"Manurewa","North Island general electorates","Local Authority or City Council",243
"Maungakiekie","North Island general electorates","Local Authority or City Council",189
"Mt Albert","North Island general electorates","Local Authority or City Council",51
"Mt Roskill","North Island general electorates","Local Authority or City Council",117
"Napier","North Island general electorates","Local Authority or City Council",495
"New Lynn","North Island general electorates","Local Authority or City Council",102
"New Plymouth","North Island general electorates","Local Authority or City Council",171
"North Shore","North Island general electorates","Local Authority or City Council",276
"Northcote","North Island general electorates","Local Authority or City Council",159
"Northland","North Island general electorates","Local Authority or City Council",240
"Ohariu","North Island general electorates","Local Authority or City Council",123
"Otaki","North Island general electorates","Local Authority or City Council",255
"Pakuranga","North Island general electorates","Local Authority or City Council",288
"Palmerston North","North Island general electorates","Local Authority or City Council",489
"Papakura","North Island general electorates","Local Authority or City Council",111
"Rangitikei","North Island general electorates","Local Authority or City Council",297
"Rimutaka","North Island general electorates","Local Authority or City Council",117
"Rodney","North Island general electorates","Local Authority or City Council",75
"Rongotai","North Island general electorates","Local Authority or City Council",1569
"Rotorua","North Island general electorates","Local Authority or City Council",300
"Tamaki","North Island general electorates","Local Authority or City Council",21
"Taranaki-King Country","North Island general electorates","Local Authority or City Council",171
"Taupo","North Island general electorates","Local Authority or City Council",270
"Tauranga","North Island general electorates","Local Authority or City Council",231
"Te Atatu","North Island general electorates","Local Authority or City Council",129
"Tukituki","North Island general electorates","Local Authority or City Council",213
"Upper Harbour","North Island general electorates","Local Authority or City Council",69
"Waikato","North Island general electorates","Local Authority or City Council",186
"Wairarapa","North Island general electorates","Local Authority or City Council",375
"Wellington Central","North Island general electorates","Local Authority or City Council",969
"Whanganui","North Island general electorates","Local Authority or City Council",345
"Whangarei","North Island general electorates","Local Authority or City Council",228
"Christchurch Central","South Island general electorates","Local Authority or City Council",621
"Christchurch East","South Island general electorates","Local Authority or City Council",399
"Clutha-Southland","South Island general electorates","Local Authority or City Council",234
"Dunedin North","South Island general electorates","Local Authority or City Council",369
"Dunedin South","South Island general electorates","Local Authority or City Council",537
"Ilam","South Island general electorates","Local Authority or City Council",210
"Invercargill","South Island general electorates","Local Authority or City Council",282
"Kaikoura","South Island general electorates","Local Authority or City Council",252
"Nelson","South Island general electorates","Local Authority or City Council",231
"Port Hills","South Island general electorates","Local Authority or City Council",276
"Rangitata","South Island general electorates","Local Authority or City Council",363
"Selwyn","South Island general electorates","Local Authority or City Council",129
"Waimakariri","South Island general electorates","Local Authority or City Council",174
"Waitaki","South Island general electorates","Local Authority or City Council",255
"West Coast-Tasman","South Island general electorates","Local Authority or City Council",276
"Wigram","South Island general electorates","Local Authority or City Council",474
"Area Outside General Electorate","South Island general electorates","Local Authority or City Council",NA
"Auckland Central","North Island general electorates","Housing New Zealand Corporation",1080
"Bay of Plenty","North Island general electorates","Housing New Zealand Corporation",1221
"Botany","North Island general electorates","Housing New Zealand Corporation",3102
"Coromandel","North Island general electorates","Housing New Zealand Corporation",801
"East Coast","North Island general electorates","Housing New Zealand Corporation",4830
"East Coast Bays","North Island general electorates","Housing New Zealand Corporation",201
"Epsom","North Island general electorates","Housing New Zealand Corporation",294
