"level0","level1","Sources of personal income(1)(2)","count"
"Wages, Salary, Commissions, Bonuses etc","Hauraki-Waikato","Male",16785
"Self-employment or Business","Hauraki-Waikato","Male",2931
"Interest, Dividends, Rent, Other Invest.","Hauraki-Waikato","Male",2049
"Payments from a Work Accident Insurer","Hauraki-Waikato","Male",468
"NZ Superannuation or Veterans Pension","Hauraki-Waikato","Male",1869
"Other Super., Pensions, Annuities","Hauraki-Waikato","Male",291
"Unemployment Benefit","Hauraki-Waikato","Male",2226
"Sickness Benefit","Hauraki-Waikato","Male",1443
"Domestic Purposes Benefit","Hauraki-Waikato","Male",600
"Invalids Benefit","Hauraki-Waikato","Male",1209
"Student Allowance","Hauraki-Waikato","Male",1032
"Other Govt Benefits, Payments or Pension","Hauraki-Waikato","Male",660
"Other Sources of Income","Hauraki-Waikato","Male",324
"No Source of Income During That Time(3)","Hauraki-Waikato","Male",2775
"Not Stated","Hauraki-Waikato","Male",798
"Wages, Salary, Commissions, Bonuses etc","Ikaroa-Rāwhiti","Male",15621
"Self-employment or Business","Ikaroa-Rāwhiti","Male",2343
"Interest, Dividends, Rent, Other Invest.","Ikaroa-Rāwhiti","Male",1740
"Payments from a Work Accident Insurer","Ikaroa-Rāwhiti","Male",507
"NZ Superannuation or Veterans Pension","Ikaroa-Rāwhiti","Male",2007
"Other Super., Pensions, Annuities","Ikaroa-Rāwhiti","Male",267
"Unemployment Benefit","Ikaroa-Rāwhiti","Male",2313
"Sickness Benefit","Ikaroa-Rāwhiti","Male",1251
"Domestic Purposes Benefit","Ikaroa-Rāwhiti","Male",498
"Invalids Benefit","Ikaroa-Rāwhiti","Male",1266
"Student Allowance","Ikaroa-Rāwhiti","Male",663
"Other Govt Benefits, Payments or Pension","Ikaroa-Rāwhiti","Male",603
"Other Sources of Income","Ikaroa-Rāwhiti","Male",246
"No Source of Income During That Time(3)","Ikaroa-Rāwhiti","Male",2427
"Not Stated","Ikaroa-Rāwhiti","Male",768
"Wages, Salary, Commissions, Bonuses etc","Tāmaki Makaurau","Male",16212
"Self-employment or Business","Tāmaki Makaurau","Male",3252
"Interest, Dividends, Rent, Other Invest.","Tāmaki Makaurau","Male",2625
"Payments from a Work Accident Insurer","Tāmaki Makaurau","Male",387
"NZ Superannuation or Veterans Pension","Tāmaki Makaurau","Male",1617
"Other Super., Pensions, Annuities","Tāmaki Makaurau","Male",225
"Unemployment Benefit","Tāmaki Makaurau","Male",2007
"Sickness Benefit","Tāmaki Makaurau","Male",1506
"Domestic Purposes Benefit","Tāmaki Makaurau","Male",429
"Invalids Benefit","Tāmaki Makaurau","Male",1077
"Student Allowance","Tāmaki Makaurau","Male",1287
"Other Govt Benefits, Payments or Pension","Tāmaki Makaurau","Male",549
"Other Sources of Income","Tāmaki Makaurau","Male",423
"No Source of Income During That Time(3)","Tāmaki Makaurau","Male",2907
"Not Stated","Tāmaki Makaurau","Male",666
"Wages, Salary, Commissions, Bonuses etc","Te Tai Hauāuru","Male",18021
"Self-employment or Business","Te Tai Hauāuru","Male",2880
"Interest, Dividends, Rent, Other Invest.","Te Tai Hauāuru","Male",2247
"Payments from a Work Accident Insurer","Te Tai Hauāuru","Male",564
"NZ Superannuation or Veterans Pension","Te Tai Hauāuru","Male",2265
"Other Super., Pensions, Annuities","Te Tai Hauāuru","Male",330
"Unemployment Benefit","Te Tai Hauāuru","Male",2424
"Sickness Benefit","Te Tai Hauāuru","Male",1233
"Domestic Purposes Benefit","Te Tai Hauāuru","Male",480
"Invalids Benefit","Te Tai Hauāuru","Male",1383
"Student Allowance","Te Tai Hauāuru","Male",798
"Other Govt Benefits, Payments or Pension","Te Tai Hauāuru","Male",660
"Other Sources of Income","Te Tai Hauāuru","Male",315
"No Source of Income During That Time(3)","Te Tai Hauāuru","Male",2970
"Not Stated","Te Tai Hauāuru","Male",810
"Wages, Salary, Commissions, Bonuses etc","Te Tai Tokerau","Male",16527
"Self-employment or Business","Te Tai Tokerau","Male",4053
"Interest, Dividends, Rent, Other Invest.","Te Tai Tokerau","Male",2379
"Payments from a Work Accident Insurer","Te Tai Tokerau","Male",573
"NZ Superannuation or Veterans Pension","Te Tai Tokerau","Male",2442
"Other Super., Pensions, Annuities","Te Tai Tokerau","Male",351
"Unemployment Benefit","Te Tai Tokerau","Male",2325
"Sickness Benefit","Te Tai Tokerau","Male",1467
"Domestic Purposes Benefit","Te Tai Tokerau","Male",528
"Invalids Benefit","Te Tai Tokerau","Male",1281
"Student Allowance","Te Tai Tokerau","Male",825
"Other Govt Benefits, Payments or Pension","Te Tai Tokerau","Male",732
"Other Sources of Income","Te Tai Tokerau","Male",312
"No Source of Income During That Time(3)","Te Tai Tokerau","Male",2925
"Not Stated","Te Tai Tokerau","Male",744
"Wages, Salary, Commissions, Bonuses etc","Te Tai Tonga","Male",27672
"Self-employment or Business","Te Tai Tonga","Male",5415
"Interest, Dividends, Rent, Other Invest.","Te Tai Tonga","Male",4386
"Payments from a Work Accident Insurer","Te Tai Tonga","Male",825
"NZ Superannuation or Veterans Pension","Te Tai Tonga","Male",2646
"Other Super., Pensions, Annuities","Te Tai Tonga","Male",435
"Unemployment Benefit","Te Tai Tonga","Male",2232
"Sickness Benefit","Te Tai Tonga","Male",1434
"Domestic Purposes Benefit","Te Tai Tonga","Male",369
"Invalids Benefit","Te Tai Tonga","Male",1386
"Student Allowance","Te Tai Tonga","Male",1590
"Other Govt Benefits, Payments or Pension","Te Tai Tonga","Male",936
"Other Sources of Income","Te Tai Tonga","Male",615
"No Source of Income During That Time(3)","Te Tai Tonga","Male",2868
"Not Stated","Te Tai Tonga","Male",672
"Wages, Salary, Commissions, Bonuses etc","Waiariki","Male",14742
"Self-employment or Business","Waiariki","Male",2754
"Interest, Dividends, Rent, Other Invest.","Waiariki","Male",1944
"Payments from a Work Accident Insurer","Waiariki","Male",456
"NZ Superannuation or Veterans Pension","Waiariki","Male",2211
"Other Super., Pensions, Annuities","Waiariki","Male",318
"Unemployment Benefit","Waiariki","Male",2151
"Sickness Benefit","Waiariki","Male",1290
"Domestic Purposes Benefit","Waiariki","Male",528
"Invalids Benefit","Waiariki","Male",879
"Student Allowance","Waiariki","Male",810
"Other Govt Benefits, Payments or Pension","Waiariki","Male",582
"Other Sources of Income","Waiariki","Male",282
"No Source of Income During That Time(3)","Waiariki","Male",2487
"Not Stated","Waiariki","Male",759
"Wages, Salary, Commissions, Bonuses etc","Area Outside Māori Electorate","Male",NA
"Self-employment or Business","Area Outside Māori Electorate","Male",NA
"Interest, Dividends, Rent, Other Invest.","Area Outside Māori Electorate","Male",NA
"Payments from a Work Accident Insurer","Area Outside Māori Electorate","Male",NA
"NZ Superannuation or Veterans Pension","Area Outside Māori Electorate","Male",NA
"Other Super., Pensions, Annuities","Area Outside Māori Electorate","Male",NA
"Unemployment Benefit","Area Outside Māori Electorate","Male",NA
"Sickness Benefit","Area Outside Māori Electorate","Male",NA
"Domestic Purposes Benefit","Area Outside Māori Electorate","Male",NA
"Invalids Benefit","Area Outside Māori Electorate","Male",NA
"Student Allowance","Area Outside Māori Electorate","Male",NA
"Other Govt Benefits, Payments or Pension","Area Outside Māori Electorate","Male",NA
"Other Sources of Income","Area Outside Māori Electorate","Male",NA
"No Source of Income During That Time(3)","Area Outside Māori Electorate","Male",NA
"Not Stated","Area Outside Māori Electorate","Male",NA
"Wages, Salary, Commissions, Bonuses etc","Hauraki-Waikato","Female",17994
"Self-employment or Business","Hauraki-Waikato","Female",2193
