"level0","level1","level2","Sources of personal income(1)(2)","count"
"Wages, Salary, Commissions, Bonuses etc","Auckland Central","North Island general electorates","Male",15393
"Self–employment or Business","Auckland Central","North Island general electorates","Male",4893
"Interest, Dividends, Rent, Other Invest.","Auckland Central","North Island general electorates","Male",5109
"Payments from a Work Accident Insurer","Auckland Central","North Island general electorates","Male",150
"NZ Superannuation or Veterans Pension","Auckland Central","North Island general electorates","Male",1773
"Other Super., Pensions, Annuities","Auckland Central","North Island general electorates","Male",345
"Unemployment Benefit","Auckland Central","North Island general electorates","Male",768
"Sickness Benefit","Auckland Central","North Island general electorates","Male",552
"Domestic Purposes Benefit","Auckland Central","North Island general electorates","Male",87
"Invalids Benefit","Auckland Central","North Island general electorates","Male",369
"Student Allowance","Auckland Central","North Island general electorates","Male",1554
"Other Govt Benefits, Payments or Pension","Auckland Central","North Island general electorates","Male",492
"Other Sources of Income","Auckland Central","North Island general electorates","Male",1194
"No Source of Income During That Time(3)","Auckland Central","North Island general electorates","Male",2175
"Not Stated","Auckland Central","North Island general electorates","Male",2961
"Wages, Salary, Commissions, Bonuses etc","Bay of Plenty","North Island general electorates","Male",12453
"Self–employment or Business","Bay of Plenty","North Island general electorates","Male",5115
"Interest, Dividends, Rent, Other Invest.","Bay of Plenty","North Island general electorates","Male",5757
"Payments from a Work Accident Insurer","Bay of Plenty","North Island general electorates","Male",354
"NZ Superannuation or Veterans Pension","Bay of Plenty","North Island general electorates","Male",4923
"Other Super., Pensions, Annuities","Bay of Plenty","North Island general electorates","Male",939
"Unemployment Benefit","Bay of Plenty","North Island general electorates","Male",612
"Sickness Benefit","Bay of Plenty","North Island general electorates","Male",609
"Domestic Purposes Benefit","Bay of Plenty","North Island general electorates","Male",162
"Invalids Benefit","Bay of Plenty","North Island general electorates","Male",381
"Student Allowance","Bay of Plenty","North Island general electorates","Male",444
"Other Govt Benefits, Payments or Pension","Bay of Plenty","North Island general electorates","Male",549
"Other Sources of Income","Bay of Plenty","North Island general electorates","Male",201
"No Source of Income During That Time(3)","Bay of Plenty","North Island general electorates","Male",1122
