"level0","level1","Tenure of household","count"
"Auckland Central","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",6954
"Bay of Plenty","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",17814
"Botany","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",21267
"Coromandel","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",15648
"East Coast","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",23223
"East Coast Bays","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",20706
"Epsom","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",9891
"Hamilton East","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",18225
"Hamilton West","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",21135
"Helensville","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",20667
"Hunua","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",22941
"Hutt South","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",23562
"Kelston","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",21480
"Mana","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",23403
"Mangere","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",15846
"Manukau East","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",14727
"Manurewa","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",19641
"Maungakiekie","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",15621
"Mt Albert","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",15267
"Mt Roskill","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",15030
"Napier","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",19455
"New Lynn","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",20451
"New Plymouth","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",20376
"North Shore","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",16608
"Northcote","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",21681
"Northland","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",20280
"Ohariu","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",22179
"Otaki","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",18663
"Pakuranga","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",19638
"Palmerston North","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",19353
"Papakura","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",22929
"Rangitikei","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",21222
"Rimutaka","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",23967
"Rodney","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",18801
"Rongotai","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",16632
"Rotorua","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",21942
"Tamaki","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",12885
"Taranaki-King Country","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",19431
"Taupo","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",20151
"Tauranga","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",14934
"Te Atatu","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",22806
"Tukituki","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",20241
"Upper Harbour","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",24843
"Waikato","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",22191
"Wairarapa","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",21069
"Wellington Central","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",11535
"Whanganui","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",20178
"Whangarei","North Island general electorates","Dwelling owned or partly owned, mortgage payments made",20481
"Christchurch Central","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",15681
"Christchurch East","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",21642
"Clutha-Southland","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",15762
"Dunedin North","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",15696
"Dunedin South","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",20907
"Ilam","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",14016
"Invercargill","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",21297
"Kaikoura","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",19251
"Nelson","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",19362
"Port Hills","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",20622
"Rangitata","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",20433
"Selwyn","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",21999
"Waimakariri","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",22950
"Waitaki","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",17493
