"level0","Total household income(1)","count"
"Hauraki-Waikato","Loss",342
"Ikaroa-Rāwhiti","Loss",237
"Tāmaki Makaurau","Loss",327
"Te Tai Hauāuru","Loss",336
"Te Tai Tokerau","Loss",351
"Te Tai Tonga","Loss",318
"Waiariki","Loss",213
"Area Outside Māori Electorate","Loss",NA
"Hauraki-Waikato","Zero income",369
"Ikaroa-Rāwhiti","Zero income",345
"Tāmaki Makaurau","Zero income",348
"Te Tai Hauāuru","Zero income",354
"Te Tai Tokerau","Zero income",327
"Te Tai Tonga","Zero income",291
"Waiariki","Zero income",282
"Area Outside Māori Electorate","Zero income",NA
"Hauraki-Waikato","$1–$5,000",954
"Ikaroa-Rāwhiti","$1–$5,000",909
"Tāmaki Makaurau","$1–$5,000",888
"Te Tai Hauāuru","$1–$5,000",897
"Te Tai Tokerau","$1–$5,000",939
"Te Tai Tonga","$1–$5,000",666
"Waiariki","$1–$5,000",819
"Area Outside Māori Electorate","$1–$5,000",NA
"Hauraki-Waikato","$5,001– $10,000",1176
"Ikaroa-Rāwhiti","$5,001– $10,000",1116
"Tāmaki Makaurau","$5,001– $10,000",1038
"Te Tai Hauāuru","$5,001– $10,000",1272
"Te Tai Tokerau","$5,001– $10,000",1161
"Te Tai Tonga","$5,001– $10,000",1038
"Waiariki","$5,001– $10,000",1044
"Area Outside Māori Electorate","$5,001– $10,000",NA
"Hauraki-Waikato","$10,001– $15,000",1926
"Ikaroa-Rāwhiti","$10,001– $15,000",2220
"Tāmaki Makaurau","$10,001– $15,000",1617
"Te Tai Hauāuru","$10,001– $15,000",2556
"Te Tai Tokerau","$10,001– $15,000",1968
"Te Tai Tonga","$10,001– $15,000",2184
"Waiariki","$10,001– $15,000",2004
"Area Outside Māori Electorate","$10,001– $15,000",NA
"Hauraki-Waikato","$15,001– $20,000",2637
"Ikaroa-Rāwhiti","$15,001– $20,000",3027
"Tāmaki Makaurau","$15,001– $20,000",2121
"Te Tai Hauāuru","$15,001– $20,000",3363
"Te Tai Tokerau","$15,001– $20,000",2847
"Te Tai Tonga","$15,001– $20,000",3087
"Waiariki","$15,001– $20,000",2895
"Area Outside Māori Electorate","$15,001– $20,000",NA
"Hauraki-Waikato","$20,001– $25,000",2685
"Ikaroa-Rāwhiti","$20,001– $25,000",2706
"Tāmaki Makaurau","$20,001– $25,000",1923
"Te Tai Hauāuru","$20,001– $25,000",3168
"Te Tai Tokerau","$20,001– $25,000",2811
"Te Tai Tonga","$20,001– $25,000",3066
"Waiariki","$20,001– $25,000",2670
"Area Outside Māori Electorate","$20,001– $25,000",NA
"Hauraki-Waikato","$25,001– $30,000",3654
"Ikaroa-Rāwhiti","$25,001– $30,000",3546
"Tāmaki Makaurau","$25,001– $30,000",2301
"Te Tai Hauāuru","$25,001– $30,000",4203
"Te Tai Tokerau","$25,001– $30,000",3876
"Te Tai Tonga","$25,001– $30,000",4023
"Waiariki","$25,001– $30,000",3723
"Area Outside Māori Electorate","$25,001– $30,000",NA
"Hauraki-Waikato","$30,001– $35,000",3351
"Ikaroa-Rāwhiti","$30,001– $35,000",3351
"Tāmaki Makaurau","$30,001– $35,000",2544
"Te Tai Hauāuru","$30,001– $35,000",3690
"Te Tai Tokerau","$30,001– $35,000",3699
"Te Tai Tonga","$30,001– $35,000",3942
"Waiariki","$30,001– $35,000",3501
"Area Outside Māori Electorate","$30,001– $35,000",NA
"Hauraki-Waikato","$35,001– $40,000",3087
"Ikaroa-Rāwhiti","$35,001– $40,000",3189
"Tāmaki Makaurau","$35,001– $40,000",2457
"Te Tai Hauāuru","$35,001– $40,000",3690
"Te Tai Tokerau","$35,001– $40,000",3186
