"level0","level1","Total household income(1)","count"
"Auckland Central","North Island general electorates","Loss",318
"Bay of Plenty","North Island general electorates","Loss",192
"Botany","North Island general electorates","Loss",261
"Coromandel","North Island general electorates","Loss",273
"East Coast","North Island general electorates","Loss",273
"East Coast Bays","North Island general electorates","Loss",216
"Epsom","North Island general electorates","Loss",228
"Hamilton East","North Island general electorates","Loss",156
"Hamilton West","North Island general electorates","Loss",177
"Helensville","North Island general electorates","Loss",195
"Hunua","North Island general electorates","Loss",237
"Hutt South","North Island general electorates","Loss",117
"Kelston","North Island general electorates","Loss",252
"Mana","North Island general electorates","Loss",144
"Mangere","North Island general electorates","Loss",255
"Manukau East","North Island general electorates","Loss",447
"Manurewa","North Island general electorates","Loss",423
"Maungakiekie","North Island general electorates","Loss",273
"Mt Albert","North Island general electorates","Loss",135
"Mt Roskill","North Island general electorates","Loss",246
"Napier","North Island general electorates","Loss",204
"New Lynn","North Island general electorates","Loss",156
"New Plymouth","North Island general electorates","Loss",153
"North Shore","North Island general electorates","Loss",153
"Northcote","North Island general electorates","Loss",174
"Northland","North Island general electorates","Loss",498
"Ohariu","North Island general electorates","Loss",42
"Otaki","North Island general electorates","Loss",156
"Pakuranga","North Island general electorates","Loss",243
"Palmerston North","North Island general electorates","Loss",141
"Papakura","North Island general electorates","Loss",237
"Rangitikei","North Island general electorates","Loss",291
"Rimutaka","North Island general electorates","Loss",156
"Rodney","North Island general electorates","Loss",165
"Rongotai","North Island general electorates","Loss",129
"Rotorua","North Island general electorates","Loss",249
"Tamaki","North Island general electorates","Loss",141
"Taranaki-King Country","North Island general electorates","Loss",219
"Taupo","North Island general electorates","Loss",234
"Tauranga","North Island general electorates","Loss",141
"Te Atatu","North Island general electorates","Loss",252
"Tukituki","North Island general electorates","Loss",195
"Upper Harbour","North Island general electorates","Loss",252
"Waikato","North Island general electorates","Loss",291
"Wairarapa","North Island general electorates","Loss",258
"Wellington Central","North Island general electorates","Loss",117
"Whanganui","North Island general electorates","Loss",192
"Whangarei","North Island general electorates","Loss",234
"Christchurch Central","South Island general electorates","Loss",183
"Christchurch East","South Island general electorates","Loss",153
"Clutha-Southland","South Island general electorates","Loss",276
"Dunedin North","South Island general electorates","Loss",162
"Dunedin South","South Island general electorates","Loss",120
"Ilam","South Island general electorates","Loss",126
"Invercargill","South Island general electorates","Loss",156
"Kaikoura","South Island general electorates","Loss",300
"Nelson","South Island general electorates","Loss",150
"Port Hills","South Island general electorates","Loss",99
"Rangitata","South Island general electorates","Loss",114
"Selwyn","South Island general electorates","Loss",153
"Waimakariri","South Island general electorates","Loss",102
"Waitaki","South Island general electorates","Loss",240
"West Coast-Tasman","South Island general electorates","Loss",234
"Wigram","South Island general electorates","Loss",99
"Area Outside General Electorate","South Island general electorates","Loss",NA
"Auckland Central","North Island general electorates","Zero income",1353
"Bay of Plenty","North Island general electorates","Zero income",171
"Botany","North Island general electorates","Zero income",372
"Coromandel","North Island general electorates","Zero income",180
"East Coast","North Island general electorates","Zero income",336
"East Coast Bays","North Island general electorates","Zero income",348
"Epsom","North Island general electorates","Zero income",462
