"level0","level1","level2","Total personal income(1)","count"
"Male","15–19 Years","Hauraki-Waikato","Loss",45
"Female","15–19 Years","Hauraki-Waikato","Loss",36
"Male","20–24 Years","Hauraki-Waikato","Loss",27
"Female","20–24 Years","Hauraki-Waikato","Loss",24
"Male","25–29 Years","Hauraki-Waikato","Loss",18
"Female","25–29 Years","Hauraki-Waikato","Loss",24
"Male","30–34 Years","Hauraki-Waikato","Loss",12
"Female","30–34 Years","Hauraki-Waikato","Loss",18
"Male","35–39 Years","Hauraki-Waikato","Loss",24
"Female","35–39 Years","Hauraki-Waikato","Loss",15
"Male","40–44 Years","Hauraki-Waikato","Loss",15
"Female","40–44 Years","Hauraki-Waikato","Loss",18
"Male","45–49 Years","Hauraki-Waikato","Loss",21
"Female","45–49 Years","Hauraki-Waikato","Loss",15
"Male","50–54 Years","Hauraki-Waikato","Loss",9
"Female","50–54 Years","Hauraki-Waikato","Loss",15
"Male","55–59 Years","Hauraki-Waikato","Loss",9
"Female","55–59 Years","Hauraki-Waikato","Loss",12
"Male","60–64 Years","Hauraki-Waikato","Loss",12
"Female","60–64 Years","Hauraki-Waikato","Loss",15
"Male","65–69 Years","Hauraki-Waikato","Loss",3
"Female","65–69 Years","Hauraki-Waikato","Loss",0
"Male","70–74 Years","Hauraki-Waikato","Loss",0
"Female","70–74 Years","Hauraki-Waikato","Loss",0
"Male","75–79 Years","Hauraki-Waikato","Loss",0
"Female","75–79 Years","Hauraki-Waikato","Loss",0
"Male","80–84 Years","Hauraki-Waikato","Loss",0
"Female","80–84 Years","Hauraki-Waikato","Loss",0
"Male","85 Years And Over","Hauraki-Waikato","Loss",0
"Female","85 Years And Over","Hauraki-Waikato","Loss",0
"Male","15–19 Years","Ikaroa-Rāwhiti","Loss",42
"Female","15–19 Years","Ikaroa-Rāwhiti","Loss",33
"Male","20–24 Years","Ikaroa-Rāwhiti","Loss",15
"Female","20–24 Years","Ikaroa-Rāwhiti","Loss",24
"Male","25–29 Years","Ikaroa-Rāwhiti","Loss",12
"Female","25–29 Years","Ikaroa-Rāwhiti","Loss",12
"Male","30–34 Years","Ikaroa-Rāwhiti","Loss",12
"Female","30–34 Years","Ikaroa-Rāwhiti","Loss",12
"Male","35–39 Years","Ikaroa-Rāwhiti","Loss",9
"Female","35–39 Years","Ikaroa-Rāwhiti","Loss",6
"Male","40–44 Years","Ikaroa-Rāwhiti","Loss",15
"Female","40–44 Years","Ikaroa-Rāwhiti","Loss",12
"Male","45–49 Years","Ikaroa-Rāwhiti","Loss",12
"Female","45–49 Years","Ikaroa-Rāwhiti","Loss",15
"Male","50–54 Years","Ikaroa-Rāwhiti","Loss",18
"Female","50–54 Years","Ikaroa-Rāwhiti","Loss",9
"Male","55–59 Years","Ikaroa-Rāwhiti","Loss",15
"Female","55–59 Years","Ikaroa-Rāwhiti","Loss",6
"Male","60–64 Years","Ikaroa-Rāwhiti","Loss",9
"Female","60–64 Years","Ikaroa-Rāwhiti","Loss",3
"Male","65–69 Years","Ikaroa-Rāwhiti","Loss",3
"Female","65–69 Years","Ikaroa-Rāwhiti","Loss",3
"Male","70–74 Years","Ikaroa-Rāwhiti","Loss",3
"Female","70–74 Years","Ikaroa-Rāwhiti","Loss",3
"Male","75–79 Years","Ikaroa-Rāwhiti","Loss",0
"Female","75–79 Years","Ikaroa-Rāwhiti","Loss",0
"Male","80–84 Years","Ikaroa-Rāwhiti","Loss",0
"Female","80–84 Years","Ikaroa-Rāwhiti","Loss",0
"Male","85 Years And Over","Ikaroa-Rāwhiti","Loss",0
"Female","85 Years And Over","Ikaroa-Rāwhiti","Loss",0
"Male","15–19 Years","Tāmaki Makaurau","Loss",45
"Female","15–19 Years","Tāmaki Makaurau","Loss",54
"Male","20–24 Years","Tāmaki Makaurau","Loss",24
"Female","20–24 Years","Tāmaki Makaurau","Loss",33
