"level0","level1","level2","level3","Total personal income(1)","count"
"Male","15–19 Years","Auckland Central","North Island general electorates","Loss",24
"Female","15–19 Years","Auckland Central","North Island general electorates","Loss",18
"Male","20–24 Years","Auckland Central","North Island general electorates","Loss",63
"Female","20–24 Years","Auckland Central","North Island general electorates","Loss",30
"Male","25–29 Years","Auckland Central","North Island general electorates","Loss",36
"Female","25–29 Years","Auckland Central","North Island general electorates","Loss",24
"Male","30–34 Years","Auckland Central","North Island general electorates","Loss",21
"Female","30–34 Years","Auckland Central","North Island general electorates","Loss",15
"Male","35–39 Years","Auckland Central","North Island general electorates","Loss",12
"Female","35–39 Years","Auckland Central","North Island general electorates","Loss",12
"Male","40–44 Years","Auckland Central","North Island general electorates","Loss",6
"Female","40–44 Years","Auckland Central","North Island general electorates","Loss",12
"Male","45–49 Years","Auckland Central","North Island general electorates","Loss",18
"Female","45–49 Years","Auckland Central","North Island general electorates","Loss",18
"Male","50–54 Years","Auckland Central","North Island general electorates","Loss",15
"Female","50–54 Years","Auckland Central","North Island general electorates","Loss",15
"Male","55–59 Years","Auckland Central","North Island general electorates","Loss",9
"Female","55–59 Years","Auckland Central","North Island general electorates","Loss",9
"Male","60–64 Years","Auckland Central","North Island general electorates","Loss",12
"Female","60–64 Years","Auckland Central","North Island general electorates","Loss",6
"Male","65–69 Years","Auckland Central","North Island general electorates","Loss",0
"Female","65–69 Years","Auckland Central","North Island general electorates","Loss",0
"Male","70–74 Years","Auckland Central","North Island general electorates","Loss",0
"Female","70–74 Years","Auckland Central","North Island general electorates","Loss",0
"Male","75–79 Years","Auckland Central","North Island general electorates","Loss",0
"Female","75–79 Years","Auckland Central","North Island general electorates","Loss",0
"Male","80–84 Years","Auckland Central","North Island general electorates","Loss",0
"Female","80–84 Years","Auckland Central","North Island general electorates","Loss",0
"Male","85 Years And Over","Auckland Central","North Island general electorates","Loss",0
"Female","85 Years And Over","Auckland Central","North Island general electorates","Loss",0
"Male","15–19 Years","Bay of Plenty","North Island general electorates","Loss",15
"Female","15–19 Years","Bay of Plenty","North Island general electorates","Loss",12
"Male","20–24 Years","Bay of Plenty","North Island general electorates","Loss",6
"Female","20–24 Years","Bay of Plenty","North Island general electorates","Loss",9
"Male","25–29 Years","Bay of Plenty","North Island general electorates","Loss",0
"Female","25–29 Years","Bay of Plenty","North Island general electorates","Loss",0
"Male","30–34 Years","Bay of Plenty","North Island general electorates","Loss",0
"Female","30–34 Years","Bay of Plenty","North Island general electorates","Loss",6
"Male","35–39 Years","Bay of Plenty","North Island general electorates","Loss",12
"Female","35–39 Years","Bay of Plenty","North Island general electorates","Loss",12
"Male","40–44 Years","Bay of Plenty","North Island general electorates","Loss",18
"Female","40–44 Years","Bay of Plenty","North Island general electorates","Loss",9
"Male","45–49 Years","Bay of Plenty","North Island general electorates","Loss",18
"Female","45–49 Years","Bay of Plenty","North Island general electorates","Loss",12
"Male","50–54 Years","Bay of Plenty","North Island general electorates","Loss",18
"Female","50–54 Years","Bay of Plenty","North Island general electorates","Loss",18
"Male","55–59 Years","Bay of Plenty","North Island general electorates","Loss",21
"Female","55–59 Years","Bay of Plenty","North Island general electorates","Loss",18
"Male","60–64 Years","Bay of Plenty","North Island general electorates","Loss",21
"Female","60–64 Years","Bay of Plenty","North Island general electorates","Loss",9
