"level0","level1","level2","Unpaid activities(1)","count"
"No Activities","Auckland Central","North Island general electorates","Male",4845
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Auckland Central","North Island general electorates","Male",18438
"Looking After a Child Who is a Member of Own Household","Auckland Central","North Island general electorates","Male",3168
"Looking After a Member of Own Household Who is Ill or Has a Disability","Auckland Central","North Island general electorates","Male",765
"Looking After a Child Who Does Not Live in Own Household","Auckland Central","North Island general electorates","Male",1665
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Auckland Central","North Island general electorates","Male",1254
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Auckland Central","North Island general electorates","Male",2646
"Not Elsewhere Included(3)","Auckland Central","North Island general electorates","Male",3678
"No Activities","Bay of Plenty","North Island general electorates","Male",2706
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Bay of Plenty","North Island general electorates","Male",18429
"Looking After a Child Who is a Member of Own Household","Bay of Plenty","North Island general electorates","Male",6237
"Looking After a Member of Own Household Who is Ill or Has a Disability","Bay of Plenty","North Island general electorates","Male",1344
"Looking After a Child Who Does Not Live in Own Household","Bay of Plenty","North Island general electorates","Male",2637
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Bay of Plenty","North Island general electorates","Male",1389
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Bay of Plenty","North Island general electorates","Male",2787
"Not Elsewhere Included(3)","Bay of Plenty","North Island general electorates","Male",2283
"No Activities","Botany","North Island general electorates","Male",3705
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Botany","North Island general electorates","Male",17370
"Looking After a Child Who is a Member of Own Household","Botany","North Island general electorates","Male",6240
"Looking After a Member of Own Household Who is Ill or Has a Disability","Botany","North Island general electorates","Male",1200
"Looking After a Child Who Does Not Live in Own Household","Botany","North Island general electorates","Male",1617
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Botany","North Island general electorates","Male",939
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Botany","North Island general electorates","Male",2277
"Not Elsewhere Included(3)","Botany","North Island general electorates","Male",2040
"No Activities","Coromandel","North Island general electorates","Male",3348
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Coromandel","North Island general electorates","Male",19077
"Looking After a Child Who is a Member of Own Household","Coromandel","North Island general electorates","Male",5139
"Looking After a Member of Own Household Who is Ill or Has a Disability","Coromandel","North Island general electorates","Male",1365
"Looking After a Child Who Does Not Live in Own Household","Coromandel","North Island general electorates","Male",2412
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Coromandel","North Island general electorates","Male",1617
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","Coromandel","North Island general electorates","Male",3915
"Not Elsewhere Included(3)","Coromandel","North Island general electorates","Male",2883
"No Activities","East Coast","North Island general electorates","Male",4293
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","East Coast","North Island general electorates","Male",23709
"Looking After a Child Who is a Member of Own Household","East Coast","North Island general electorates","Male",8340
"Looking After a Member of Own Household Who is Ill or Has a Disability","East Coast","North Island general electorates","Male",2361
"Looking After a Child Who Does Not Live in Own Household","East Coast","North Island general electorates","Male",3957
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","East Coast","North Island general electorates","Male",2322
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","East Coast","North Island general electorates","Male",5238
"Not Elsewhere Included(3)","East Coast","North Island general electorates","Male",5280
"No Activities","East Coast Bays","North Island general electorates","Male",3153
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","East Coast Bays","North Island general electorates","Male",17535
"Looking After a Child Who is a Member of Own Household","East Coast Bays","North Island general electorates","Male",6123
"Looking After a Member of Own Household Who is Ill or Has a Disability","East Coast Bays","North Island general electorates","Male",936
"Looking After a Child Who Does Not Live in Own Household","East Coast Bays","North Island general electorates","Male",1866
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","East Coast Bays","North Island general electorates","Male",894
"Other Helping or Voluntary Work for or Through Any Organisation, Group or Marae","East Coast Bays","North Island general electorates","Male",2241
"Not Elsewhere Included(3)","East Coast Bays","North Island general electorates","Male",1911
"No Activities","Epsom","North Island general electorates","Male",3435
"Household Work, Cooking, Repairs, Gardening, etc, for Own Household","Epsom","North Island general electorates","Male",17931
"Looking After a Child Who is a Member of Own Household","Epsom","North Island general electorates","Male",5643
"Looking After a Member of Own Household Who is Ill or Has a Disability","Epsom","North Island general electorates","Male",942
"Looking After a Child Who Does Not Live in Own Household","Epsom","North Island general electorates","Male",1830
"Helping Someone Who is Ill or Has a Disability Who Does Not Live in Own Household","Epsom","North Island general electorates","Male",1254
