"level0","level1","level2","level3","Work and labour force status(1)","count"
"Male","15–19 Years","Auckland Central","North Island general electorates","Employed Full-time",177
"Female","15–19 Years","Auckland Central","North Island general electorates","Employed Full-time",156
"Male","20–24 Years","Auckland Central","North Island general electorates","Employed Full-time",1719
"Female","20–24 Years","Auckland Central","North Island general electorates","Employed Full-time",1530
"Male","25–29 Years","Auckland Central","North Island general electorates","Employed Full-time",3018
"Female","25–29 Years","Auckland Central","North Island general electorates","Employed Full-time",2577
"Male","30–34 Years","Auckland Central","North Island general electorates","Employed Full-time",2418
"Female","30–34 Years","Auckland Central","North Island general electorates","Employed Full-time",1809
"Male","35–39 Years","Auckland Central","North Island general electorates","Employed Full-time",1470
"Female","35–39 Years","Auckland Central","North Island general electorates","Employed Full-time",1113
"Male","40–44 Years","Auckland Central","North Island general electorates","Employed Full-time",1344
"Female","40–44 Years","Auckland Central","North Island general electorates","Employed Full-time",918
"Male","45–49 Years","Auckland Central","North Island general electorates","Employed Full-time",1137
"Female","45–49 Years","Auckland Central","North Island general electorates","Employed Full-time",825
"Male","50–54 Years","Auckland Central","North Island general electorates","Employed Full-time",1050
"Female","50–54 Years","Auckland Central","North Island general electorates","Employed Full-time",816
"Male","55–59 Years","Auckland Central","North Island general electorates","Employed Full-time",816
"Female","55–59 Years","Auckland Central","North Island general electorates","Employed Full-time",672
"Male","60–64 Years","Auckland Central","North Island general electorates","Employed Full-time",708
"Female","60–64 Years","Auckland Central","North Island general electorates","Employed Full-time",489
"Male","65–69 Years","Auckland Central","North Island general electorates","Employed Full-time",351
"Female","65–69 Years","Auckland Central","North Island general electorates","Employed Full-time",189
"Male","70–74 Years","Auckland Central","North Island general electorates","Employed Full-time",117
"Female","70–74 Years","Auckland Central","North Island general electorates","Employed Full-time",36
"Male","75–79 Years","Auckland Central","North Island general electorates","Employed Full-time",21
"Female","75–79 Years","Auckland Central","North Island general electorates","Employed Full-time",6
"Male","80–84 Years","Auckland Central","North Island general electorates","Employed Full-time",6
"Female","80–84 Years","Auckland Central","North Island general electorates","Employed Full-time",3
"Male","85 Years And Over","Auckland Central","North Island general electorates","Employed Full-time",3
"Female","85 Years And Over","Auckland Central","North Island general electorates","Employed Full-time",3
"Male","15–19 Years","Bay of Plenty","North Island general electorates","Employed Full-time",309
"Female","15–19 Years","Bay of Plenty","North Island general electorates","Employed Full-time",156
