"level0","level1","level2","Years at usual residence","count"
"Male","0–4 Years","Hauraki-Waikato","Less than 1 Year",2763
"Female","0–4 Years","Hauraki-Waikato","Less than 1 Year",2598
"Male","5–9 Years","Hauraki-Waikato","Less than 1 Year",1398
"Female","5–9 Years","Hauraki-Waikato","Less than 1 Year",1293
"Male","10–14 Years","Hauraki-Waikato","Less than 1 Year",1077
"Female","10–14 Years","Hauraki-Waikato","Less than 1 Year",1050
"Male","15–19 Years","Hauraki-Waikato","Less than 1 Year",1278
"Female","15–19 Years","Hauraki-Waikato","Less than 1 Year",1506
"Male","20–24 Years","Hauraki-Waikato","Less than 1 Year",1533
"Female","20–24 Years","Hauraki-Waikato","Less than 1 Year",2088
"Male","25–29 Years","Hauraki-Waikato","Less than 1 Year",1083
"Female","25–29 Years","Hauraki-Waikato","Less than 1 Year",1353
"Male","30–34 Years","Hauraki-Waikato","Less than 1 Year",714
"Female","30–34 Years","Hauraki-Waikato","Less than 1 Year",912
"Male","35–39 Years","Hauraki-Waikato","Less than 1 Year",708
"Female","35–39 Years","Hauraki-Waikato","Less than 1 Year",762
"Male","40–44 Years","Hauraki-Waikato","Less than 1 Year",576
"Female","40–44 Years","Hauraki-Waikato","Less than 1 Year",666
"Male","45–49 Years","Hauraki-Waikato","Less than 1 Year",420
"Female","45–49 Years","Hauraki-Waikato","Less than 1 Year",534
"Male","50–54 Years","Hauraki-Waikato","Less than 1 Year",360
"Female","50–54 Years","Hauraki-Waikato","Less than 1 Year",465
"Male","55–59 Years","Hauraki-Waikato","Less than 1 Year",219
"Female","55–59 Years","Hauraki-Waikato","Less than 1 Year",279
"Male","60–64 Years","Hauraki-Waikato","Less than 1 Year",156
"Female","60–64 Years","Hauraki-Waikato","Less than 1 Year",177
"Male","65–69 Years","Hauraki-Waikato","Less than 1 Year",93
"Female","65–69 Years","Hauraki-Waikato","Less than 1 Year",114
"Male","70–74 Years","Hauraki-Waikato","Less than 1 Year",66
"Female","70–74 Years","Hauraki-Waikato","Less than 1 Year",72
"Male","75–79 Years","Hauraki-Waikato","Less than 1 Year",27
"Female","75–79 Years","Hauraki-Waikato","Less than 1 Year",36
"Male","80–84 Years","Hauraki-Waikato","Less than 1 Year",15
"Female","80–84 Years","Hauraki-Waikato","Less than 1 Year",21
"Male","85 Years And Over","Hauraki-Waikato","Less than 1 Year",9
"Female","85 Years And Over","Hauraki-Waikato","Less than 1 Year",18
"Male","0–4 Years","Ikaroa-Rāwhiti","Less than 1 Year",2250
"Female","0–4 Years","Ikaroa-Rāwhiti","Less than 1 Year",2283
"Male","5–9 Years","Ikaroa-Rāwhiti","Less than 1 Year",1167
"Female","5–9 Years","Ikaroa-Rāwhiti","Less than 1 Year",1161
"Male","10–14 Years","Ikaroa-Rāwhiti","Less than 1 Year",909
"Female","10–14 Years","Ikaroa-Rāwhiti","Less than 1 Year",921
"Male","15–19 Years","Ikaroa-Rāwhiti","Less than 1 Year",981
"Female","15–19 Years","Ikaroa-Rāwhiti","Less than 1 Year",1086
