"level0","level1","level2","level3","Years at usual residence","count"
"Male","0–4 Years","Auckland Central","North Island general electorates","Less than 1 Year",495
"Female","0–4 Years","Auckland Central","North Island general electorates","Less than 1 Year",474
"Male","5–9 Years","Auckland Central","North Island general electorates","Less than 1 Year",186
"Female","5–9 Years","Auckland Central","North Island general electorates","Less than 1 Year",174
"Male","10–14 Years","Auckland Central","North Island general electorates","Less than 1 Year",135
"Female","10–14 Years","Auckland Central","North Island general electorates","Less than 1 Year",150
"Male","15–19 Years","Auckland Central","North Island general electorates","Less than 1 Year",1473
"Female","15–19 Years","Auckland Central","North Island general electorates","Less than 1 Year",1704
"Male","20–24 Years","Auckland Central","North Island general electorates","Less than 1 Year",3153
"Female","20–24 Years","Auckland Central","North Island general electorates","Less than 1 Year",2979
"Male","25–29 Years","Auckland Central","North Island general electorates","Less than 1 Year",2535
"Female","25–29 Years","Auckland Central","North Island general electorates","Less than 1 Year",2421
"Male","30–34 Years","Auckland Central","North Island general electorates","Less than 1 Year",1488
"Female","30–34 Years","Auckland Central","North Island general electorates","Less than 1 Year",1368
"Male","35–39 Years","Auckland Central","North Island general electorates","Less than 1 Year",741
"Female","35–39 Years","Auckland Central","North Island general electorates","Less than 1 Year",627
"Male","40–44 Years","Auckland Central","North Island general electorates","Less than 1 Year",489
"Female","40–44 Years","Auckland Central","North Island general electorates","Less than 1 Year",423
"Male","45–49 Years","Auckland Central","North Island general electorates","Less than 1 Year",342
"Female","45–49 Years","Auckland Central","North Island general electorates","Less than 1 Year",324
"Male","50–54 Years","Auckland Central","North Island general electorates","Less than 1 Year",285
"Female","50–54 Years","Auckland Central","North Island general electorates","Less than 1 Year",351
"Male","55–59 Years","Auckland Central","North Island general electorates","Less than 1 Year",237
"Female","55–59 Years","Auckland Central","North Island general electorates","Less than 1 Year",222
"Male","60–64 Years","Auckland Central","North Island general electorates","Less than 1 Year",177
"Female","60–64 Years","Auckland Central","North Island general electorates","Less than 1 Year",150
"Male","65–69 Years","Auckland Central","North Island general electorates","Less than 1 Year",105
"Female","65–69 Years","Auckland Central","North Island general electorates","Less than 1 Year",99
"Male","70–74 Years","Auckland Central","North Island general electorates","Less than 1 Year",63
"Female","70–74 Years","Auckland Central","North Island general electorates","Less than 1 Year",51
"Male","75–79 Years","Auckland Central","North Island general electorates","Less than 1 Year",27
"Female","75–79 Years","Auckland Central","North Island general electorates","Less than 1 Year",24
"Male","80–84 Years","Auckland Central","North Island general electorates","Less than 1 Year",15
"Female","80–84 Years","Auckland Central","North Island general electorates","Less than 1 Year",9
"Male","85 Years And Over","Auckland Central","North Island general electorates","Less than 1 Year",9
"Female","85 Years And Over","Auckland Central","North Island general electorates","Less than 1 Year",18
"Male","0–4 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",993
"Female","0–4 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",912
"Male","5–9 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",525
"Female","5–9 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",522
"Male","10–14 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",411
"Female","10–14 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",459
"Male","15–19 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",468
"Female","15–19 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",462
"Male","20–24 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",591
"Female","20–24 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",699
"Male","25–29 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",573
"Female","25–29 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",651
"Male","30–34 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",507
"Female","30–34 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",555
"Male","35–39 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",501
"Female","35–39 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",516
"Male","40–44 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",441
"Female","40–44 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",471
"Male","45–49 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",360
"Female","45–49 Years","Bay of Plenty","North Island general electorates","Less than 1 Year",381
